stage,blastomeres,endoderm,neural,paraxial.mesoderm,presomitic.mesoderm,somites
  7-9,5.65,8.03,0,39.6,0,0
 10-12,0,13.23,6,0,0,0
 14-21,0,0,1.66,0,17.24,1.68
 24-34,0,0,0.65,0,0,1.21
