stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,31.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.6,0,0,0,13.78,0,0,0,0,0,0,0,0,0,0,0,0,16.01,0,0,0,11.1,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,18.49,0,13.41,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,22.17,5.62,0,0,19.17,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0.94,0,0.83,0,26.2,0,0,0,0,0,0,0,3.73,0,1.97,26.29,0,4.22,1.27,1.59,0,0,0,3.04,25.1,0,1.69,82.24,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.61,0,25.51,0,0,0,0,0,0,0,5.63,0,0.64,36.36,0,26.75,1.32,0,0,0.62,0,0,14.23,0,0,66.47,0,0.93,0,5.95
 36-46,0,0,0,0,1.24,0,0,10.65,0,36.41,0,0,0,0,0,0,0,6.01,0,0,68.74,0,40.35,20.92,0,0,2.68,0,0,18.26,0,0,78.89,0,0,0,0
 48-58,0,0,0,0,0,0,0,17.52,0,23.58,0,0.57,0,0,0,0,0,7.6,0,1.29,73.94,0,21.57,3.01,0,0.45,1.77,0,0,1.6,0,0,51.79,0,1.36,0,6.61
 60-70,0,0,0,0,0,0,0,19.47,0,21.88,0,0,0.57,0,0,1.27,1.22,6.51,0,0,35.41,0,18.78,2.93,0,0,0,0,0,3.47,0,0,35.98,0,1.73,0,0
 72-82,0,0,0.87,0,0,1.13,0,43.22,0,9.93,0,0,0.59,0,0,1.87,0.87,6.45,0,2.41,25.89,0,27.22,17.08,0,0,0,0,0,3.11,0,0,20.94,1.16,0,0,0
 84-94,0,0,0,0,1.44,0,0,13.76,1.44,22.07,0,0,2.47,0,0,1.18,0,3.65,0,1.29,7.79,1.31,14.18,19.96,0,0,1.31,0,0,2.46,0,0,15.59,0,0,0,0
 96-106,0,0,2.51,0,0,0,0,12,0,10.73,0,0,0.73,0.66,0,5.08,0,5.83,0.78,0,26.73,0,37.96,27.33,0,0,6.26,0,0,3.15,0.64,0,19.34,0,0,0.69,0
108-118,0,0,4.83,1.06,1.32,0,0.53,4.39,0.6,3.63,0.54,0,0,0,1.33,7.85,0,5.33,0,0.86,42.47,0,31.56,31.49,0,0,6.64,0,0,3.83,0,0,10.43,0,0,0.65,0
120,0,0,0,0,4.82,3.13,0,2.13,1.04,0,5.12,0,7.64,1.63,0,2.11,0,11.55,0,0,36.79,0,17.58,19.57,0,0,2.6,0,0,2.9,0,0,10.49,0,0,0,0
