stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.88,34.95,9.17,0,33.49,0,0,0,7.63,0.82,0,2.44,2,0,0,0,0.87,27.05,0,13.56,303.59,1.23,0,0,5.03,0,0,0.86,47.93,6.94,0.99,33.55,75.86,0,0,7.04,0,0.84
 24-34,0,0,7.1,0,0,36.13,0,3.84,0.89,8.24,0,0.8,2.37,1.86,0,0,0,1.64,23,0,16.09,381.65,1.24,0.94,3.24,0,0,3.44,0,0,2.48,2.98,16.67,90.24,0,0,8.12,0,1.93
 36-46,0,0,4.39,1.2,0,65.24,3.87,0,2.1,20.18,2.61,0,1.53,0,7.88,0,0,3.05,26.22,0,8.48,365.77,0.73,5.72,7,0,0,31.04,0,0,2.85,0,0,64.48,0,0,3.59,0,4.27
 48-58,0,0,9.64,0.59,0,75.72,0.38,5.14,0,33.53,4.22,0,2.08,0,6.42,0,0,1.08,43.27,0.94,10.85,334.63,0.71,2.63,1.87,0,0,5.95,0,0,1.39,2.44,0,54.5,0,0,13.55,0,4.67
 60-70,0,0,4.63,0,0,120.62,1.22,3.22,0.63,28.92,0,0,3.98,7.92,0,0,4.49,0,28.52,1.69,2.89,291.99,1.73,3.45,4.1,0,0,0,0,0,1.68,2.51,0,26.95,0,0,4.22,0.64,9.72
 72-82,0.98,0,3.33,1.23,2.32,158.5,0,0,0.64,30.13,0.71,0.51,0.49,4.64,2.26,2.29,2.28,0,27.75,0,5.6,276.54,0,0.49,3.05,0,0.77,2.17,0,0,0,0,0,20.12,0.94,0,3.83,0.91,0
 84-94,0,0,6.16,0.56,0,128.05,0.56,5.93,1.02,21.71,2.8,1.18,2.49,3.88,0.55,0.59,2.74,0,21.98,4.01,7.56,196.31,1.64,2.45,2.33,0,0,4.8,0,0,4.48,0,0,15.1,0,1.31,3.91,0,0
 96-106,1.75,0,1.2,0.68,0,66.79,0,0,0,16.93,2.74,0,2.01,1.38,0,0.78,6.15,0,13.17,0,6.41,152.63,1.43,3.27,6.49,0,0,11.93,0,0,1.37,0,0,7.77,0.8,1.65,2.02,1.76,16.67
108-118,0,0.98,10.53,1.46,0,85.33,1.03,0,2.64,9.77,7.55,0,1.82,4.74,0,0.47,8.81,0,10.59,2.61,4.53,195.01,0,1.75,4.37,0,0,4,0,0,0.93,1.1,0,2.95,0,1,4.82,0.55,0
120,0,0,16.24,5.14,0,86.38,1.04,0,0,52.9,7.68,2.95,9.74,0,6.44,0,5.66,0,36.7,0,6.45,410.48,0,1.77,4.56,0,4.59,7.17,0,0,5.8,0,0,7.55,0,0,3.9,0,0
