stage,axial,blastomeres,erythrocytes,eye,gut,immune,mucous,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,15.7,21.85,0,0,0,0,0,0,0,0,0
  5-6,6.35,30.17,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,16.66,24.03,0,0
 10-12,0,0,0,0,0,0,0,26.02,3.98,0,0
 14-21,0,0,0,0,0,0,0,0.92,0,0,0
 24-34,0,0,0,0,0,0,0,2.35,0,0,0
 36-46,0,0,0,0,0,0,0,1.35,0,0.87,0
 48-58,0,0,0,0,0,0,0.81,0.4,0,0,0
 60-70,0,0,0,0,1.82,0,0,0,0,0,1.07
 72-82,0,0,4.44,0,0,0,0,0,0,0,0
 84-94,0,0,6.26,0,0,0,0,0,0,1.41,0
 96-106,0,0,7.16,1.48,0,0,0,0,0,2.38,0
108-118,0,0,0,0,0,0.61,0,0,0,1,0
120,0,0,5.35,0,0,0,0,0,0,1.41,0
