stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,1700.13,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0
  5-6,9.58,642.86,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,0,77.89,0,6.66,0,0
 10-12,0,0,0,0,5.2,0,0,0,0,0,0,25.95,0,5.77,0,4.47
 14-21,0,0,0,0,0,0,0,0.95,0,0,0,0,0,1.52,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.91,0,0.8,0,0,3.06,0
 36-46,0,0,0,0,0.96,0,0,0,0,0.62,0.56,4.49,0,0,0,0
 48-58,0,0,0,0,1.78,0,4.59,0,0,0.9,0,13.44,0,0,4.38,0.82
 60-70,0,0,0,0,3.66,0,2.74,0,0,1.12,0,0,0,0,0,0
 72-82,0,0,0,0,9.03,0,1.55,0,0,0.58,0,3.78,0,0,3.56,0
 84-94,0,0,0,0,0,0.55,0,0,2.4,0,0,2.87,0,0,1.11,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.25,0.59,0,0.98,0
108-118,0,0,0,0,0,0,0.78,0,0,0.62,0,0,0,0,0.89,0
120,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,3.02,0
