stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.61,13.3,0,0,0,197.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.89,5.25,0,0,155.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.49,6.41,0,4.95,0,51.98,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,625.21,24.49,0,0,259.2,0,4.05,18.81,0,22.54,0,7.71,0,0,0,0,0,0
 14-21,0,1.09,1.99,13.2,0,33.93,0,0,0,0,1.79,0,0,0,0,0,0,0,6.4,0,0,34.7,150.66,1.82,0,0,3.08,0,0.96,0,40.96,0,10.11,165.47,21.72,0,0,0,0,0
 24-34,0,0,1.52,1.72,0,20.63,0,0,0.79,6.81,0,0,5.63,0,0,0,0,3.25,12.92,0,0,18.03,91.7,2.23,1.95,0,0,0,0,0,0,0,1.65,26.95,19.49,0,0,1.08,0,7.89
 36-46,0,0,0,0,0,10.8,0,0,0,2.88,0,0,3.16,0,0,3.28,0,0,11.3,0,0.63,7.66,74.92,0.66,15.74,0.71,0,0,0,0,0,0,6.23,0,23.53,0,0,1.04,0,3.85
 48-58,0,0,2.06,1.05,0,8.74,0.48,0,0.37,18.57,0,0,0.38,0,0,3.74,0,0,11.35,0,0,11.68,58.05,0,4.87,0,0,0,1,0,0,0,3.64,0,9.02,0,0,0.44,0,6.35
 60-70,0,0,3.54,6.37,0,21.8,8.26,0,0.6,24.04,0,0,0,0,0,0.7,0,0,14.4,0,0.89,2.1,53.56,0,14.07,5.96,0,0,0,0,0,0,5.42,0,14.73,0,0.82,0,0,0
 72-82,0,0,3.07,21.89,0.54,15.09,0,0,0,13.23,0,0,2.13,1.33,0,9.49,0,0,24.07,0,3.28,3.87,94.77,0,16.35,0,1.13,1.1,0,0,0,0,0.59,0,8.16,1.01,0,0.89,0.58,11.44
 84-94,0,0,4.79,55.77,3.73,24.18,4.02,0,2.12,24.24,0.99,0,0,8.6,0,8.58,0.96,4.51,20.66,0,4.52,6.65,109.61,0,10.53,1.44,0,0,4.87,0,0,0,2.09,0,8.11,1.67,1.04,0,0,7.59
 96-106,0,0,7.63,86.57,3.33,17.06,0,0,2.57,21.58,0,0,1.56,5.56,0.71,15.01,1.39,3.66,49.61,0,1.02,11.68,62.37,0,16.29,0,0,1.3,6.09,0,0,0.71,1.29,0,6.72,0.8,1.26,0.93,4,1.21
108-118,0,0,9,46.23,25.15,27.48,3.08,0,0,44.34,0.79,0,0.8,5.63,0.92,7.73,0,2.8,48.72,0.51,1.29,12.58,185.04,0.51,28.85,1.53,0,2.78,1.97,0,0,0,4.19,0,15.55,5.52,0,1.22,2.94,3.03
120,0,0,21.92,53.2,9.28,22.93,7.37,1.05,0,111.6,0,0,0,8.03,3.19,2.99,0,1.6,101.26,3.22,19.73,19.9,205.92,12.42,38.34,3.98,0,0,7.1,0,0,0,3.38,0,8.59,0,0,2.33,0,1.1
