stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.77,0,0,2.47,0,0,0,1.78,0,0
 36-46,0,0,0,0,1.49,0,0,0,0,0.59,0,0,1.06,0.63,0,7.99,0,0,0
 48-58,0.56,0,0,0,0,0,0,0,0,0.98,0,0,6.59,0,0,0,0,0,0
 60-70,0,0,6.15,0,0,0,0,0,0,1.59,2.05,0,1.62,0,0,0,0,0,0
 72-82,1.37,1.67,3.61,0,0,0.54,0,0,0,0.52,3.38,0,2.26,0,0,3.36,0,1.47,0
 84-94,5.73,0,9.61,0,0,1.36,0.58,0,0,1.89,1.94,0,6.45,0,0,8.7,0,0,5.7
 96-106,9.64,4.6,4.07,0,0,3.6,4.59,0,1.99,1.42,24.17,0.57,5.82,0,0.6,97.09,0,0,0
108-118,19.67,1.49,19.93,0,1.65,4.7,3.71,0,0,3.53,6.43,0,11.33,0,0,59.45,0,0,0
120,4.47,0,7.98,8.81,0,0,1.32,2.93,0,5.41,24.15,0,16.55,0,0,194.81,0,0,0
