stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,363.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0
  5-6,44.84,751.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0
  7-9,18.95,10.93,0,10.24,0,0,74.41,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,670.3,52.73,0,0,214.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.76,0,21.9,0,11.01,61.31,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,586.96,15.63,0,0,146.22,0,0,33.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.05,1.63,3.74,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,23.01,0,0,0,0,0,4.6,0,8.25,11.04,0,0,0.91,0,0
 24-34,0,0,1.05,0.83,7.01,0,19.41,0,1.37,0,1.07,0,0,0,0.68,1.71,1.09,0,0,20.36,0,0,4.62,190.82,0,1.74,1.29,0,6.4,0,0,1.29,31.71,0,0,4.54,0,0
 36-46,0,0,0,0,6.19,2.17,32.71,0,1.85,0.6,10.64,0,0,0,3.31,0,0.99,0,3.35,15.39,0.56,0,3.79,175.6,0,0,2.11,0,10.71,0,0,0,27.78,0,0,8.35,0,0
 48-58,0,0,0,0,8.24,0,41.04,0.94,0.39,0.79,7.97,0,0,0.78,0,0,0,4.43,0,7.67,0,0,1.82,163.37,0,0.78,0.45,0,1.47,0,0,0,25.23,0,0,1.91,0,0
 60-70,0,0,0.89,0,11.17,0.83,62.62,0,0,1.47,16.32,0,0,2.7,0,0,0,2.11,0,28.51,4.09,0,5.95,211.93,0,0,0.68,0,0.59,0,0.97,0,30.67,0.61,0,7.73,0,4.47
 72-82,0,0,0,0,1.8,3.73,44.65,0,0.7,0,15.38,0,0,0,0,0,0,0,0,25.45,0,0,0,92.82,0,1.28,0,0,11.21,0,0,0,19.04,1.21,0,1,0,2.52
 84-94,0,0,0,0,5.31,2.46,29.06,0,0,0,11.98,1.69,0,0,0.55,0.69,0,0,0,31.35,0,0,5.77,46.81,1.14,0,0,0,6.31,0,0,0,10.45,0.57,0,0.91,0,0
 96-106,0,0,0,0,2.74,4.93,38.15,0,1.17,0,14.59,0,0,0,0.7,0,0,0,0,18.07,0,0,2.25,35.24,0,0,0,0,2.97,0,0,0,8.55,0,0,0.92,0,0
108-118,0,0,0,0,6.77,2.85,18.82,0,0,4.55,13.7,0,0,0,1.65,0.42,0,0,0,41.47,1.15,0,0,84.92,0,4.2,0,0,0.49,0,1.23,0,0,0,1.1,0.43,0,0
120,0,0,0,0,12.01,7.97,91.09,0,1.05,0,12.59,1.5,0,0,2.44,0,2.13,0,0,30.64,1.15,16.08,0,245.34,5.49,0,8.58,0,10.77,0,0,0,4.72,2.24,0,8.59,3.81,0
