stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,44.49,0,0,0,0,0,0,4.95,0,0,0,0,0,0
 10-12,0,50.73,0,0,0,0,0,0,43.63,0,3,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.79,0,0,0,1.18,0,0
 36-46,0,0,0.56,0,0,0,0.77,0,1.24,0,0,0,0,0,0
 48-58,0,0,0,0,0.72,0,0,0,4.5,0,0,0,0,0,0
 60-70,0,0,0.72,0,0,1.41,0,0,0,0,0,0,4.73,0,0
 72-82,0,0,0,0,0.77,15.85,0,0,6.76,0,0,0,0,0.5,0
 84-94,0,0,0,0,3.34,10.99,0,4.41,3.42,0,0,0,0,0,4.44
 96-106,0,0,0,0,6.59,26,0.66,0.98,0,0.57,0,1.86,0,0,0
108-118,0,0,0,10.18,2.01,55.16,0,0,5.3,0,0,1.65,0,0,0
120,0,0,2.09,0,0,47.67,0,0,0,0,0,0,0,0,0
