stage,eye,glial,heart,mesenchyme,neural,pericytes,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0.96,0,0,0,0
 24-34,0.71,0,0,0,4.9,0,0,2.39,0
 36-46,2.57,1.31,0.57,2.84,27.6,0,0,9.43,0
 48-58,3.1,0,0,2.88,31.53,0,0,5.67,0
 60-70,10.46,1.94,0,7.35,28.05,0,0,4.98,0
 72-82,10.14,0,0,3.68,23.19,0,0,4.89,0
 84-94,13.77,0,0,0,6.83,0,0,9.03,3.56
 96-106,13.6,0,0,3.59,13.87,0,1.6,0,0
108-118,12.04,2.22,1.42,3.28,24.64,1.52,0,0,0.76
120,4.62,0,0,8.35,47.37,0,0,1.64,0
