stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,31.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0
  5-6,0,36.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.1,0,0,0,0,0,0,0,0,0
  7-9,5.02,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.62,0,0,0,5.62,0,17.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,6.61,0,3.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.43,0,1.4,0,2.85,0.97,0,0,0,0
 24-34,0,0,0,0,8.85,0,2.23,0.61,0,0,0,0,0,3.64,0,0,0,0.86,0,1,26.05,0,0.69,0.74,0,0,528.11,0,0,0,2.59,1.24,0,0,0,0
 36-46,0,0,0,0,1.77,0,0,1.42,0.57,0,0,0,0,0,0,2.25,3.2,1.85,0,2.13,175.6,0,0,0,0,0,641.82,0,0,0,0,9.16,0,0,1.02,0
 48-58,0,0,0,0,13.45,0.81,2.89,2.09,0,0.86,0,7.07,0,0,0,0,0.42,0.66,0,0.75,80.47,0,0.58,0.64,0,0,370.09,0,0,0,0,1.74,0,0,0,0
 60-70,0,0,0,0,23.55,0,10.67,2.81,5.96,3.43,1.76,0,0,0,0,0,4.71,0.74,0,0,36.99,0,0,0,0,0,253.43,0,0,0,0,0.69,1.42,0,0,0
 72-82,0,0,0,0,59.65,0,2.1,0,0,1.52,0,0,2.93,1.05,3.49,0,4.37,0,1.11,0.72,45.16,0,4.05,0,0,0,34.53,3.31,0,0,0,0,14.92,0,0,0
 84-94,0,0,8.94,0,97.61,0,6.64,1.25,0,0.93,18.81,0,0,1.8,0,0,4.26,0,0,0.76,56.76,0,0,0,0,0,109.99,0,0,0.7,0,4.29,65.26,0,0,0
 96-106,0,0,3.24,0,64.59,0,1.36,1.21,0,0,14.45,0,0.81,0,0,0,1.97,0,0,1.9,55.75,0,0.67,0,0,1.05,24.79,15.44,0,0,0,0,146.48,1.93,0,0
108-118,0,0,0,0,70.43,0,1.6,0,0,2.59,12.56,0.56,0.89,0.76,0,0,5.82,0.94,1.96,1.4,32.7,0,0.86,0.52,0,0,27.39,0,0,0,0,0,232.72,0,0,0.84
120,0,0,0,0,54.99,0,9.51,0,1.49,6,3.27,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,5.53,0,0,0,0,0,71.45,0,0,0
