stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.81,42.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,36.1,0,0,0,64.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,25.99,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,24.41,0,0,0,23.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.41,2.28,0,4.41,0,1.24,0,1.39,0,0,0.95,0,0,0,0,1.4,0,0,0,6.68,18.97,0,0,0,0,0,4.05,0,0,1.77,0.83,0,0,0,0,5.38
 24-34,0,0,0,0,3.63,0,0,31.39,0,1.23,0,2.47,0,0.64,5.45,0,1.08,0,12.43,0.7,1.33,0,0,25.48,168.55,0,1.4,0,0,0,0,0,0,0.77,3.94,0,0,30.97,0,122.09
 36-46,0,0,0,0,5.21,0,0,37.22,0,1.06,0,20.03,0,0,6.74,9.13,0,0,51.23,4.35,0,1.88,0.72,25.48,136.16,0,1.4,0,0,0.94,0,0,0,0,35.9,0,0,39.78,0,45.74
 48-58,0.77,0,0,0,4.68,0,0,47.87,0,1.6,0,46.92,0.44,0,1.45,37.86,4.46,0,38.45,14.83,0,6.29,4.18,26.09,195.26,0,1.48,0,0.46,1.03,0,0,0,0,12.61,0,0,74.21,0,192.57
 60-70,0,0,0,1.02,21.8,0,0,39.4,7.53,14.74,2.18,14.5,0,0,1.02,76.9,6.24,0,8.99,25.51,5.4,7.79,2.8,34.25,80.68,1.79,0,0,0.97,0,0,0,0,0,5.42,5.34,2.97,55.17,0,80.97
 72-82,0,0,0.58,0,20.03,0,0,45.17,0,19.1,1.1,21.22,0,4.84,0.88,149.98,16.43,0,13.31,118.2,8.08,29.11,1.14,30.66,22.9,0.64,3.69,0,5.51,0.51,0,0,0,0,5.61,10.69,5.39,100.21,1.28,91.12
 84-94,0,0,0,0,39.16,4.59,0,79.27,1.8,21.49,3.41,19.9,0,1.98,3.21,241.35,18.97,0,19.96,53.44,5.95,23.91,0,30.37,34.88,0,2.08,0,3.31,5.07,0,0,0,0,0,25.85,0.69,53.41,4.45,59.68
 96-106,0,0,0,0,23.37,2.78,0.97,95.75,0,39.55,6.6,3.44,0,15.9,1.28,239.96,31.58,18.78,0.63,98.39,9.8,6.65,0,31.33,14.26,2.26,0.98,0,4.05,5.83,0,4.29,0,0,5.48,51.91,7.8,82.57,3.21,28.05
108-118,0,0,0,0,20.87,0,0,71.81,2.34,18.32,1.31,0,0,15.5,1.99,280.34,35.1,0.47,8.48,111.57,24.99,12.92,2.04,16.18,17.89,0,1.76,0,2.84,0.99,0,1.96,0,0,1.63,63.62,0,122.93,3.14,49.83
120,0,0,0,0,14,0,0,8.45,0,31.21,4.45,0,2.29,28.96,1.07,281.18,38.05,0,0,240.78,11.2,22.73,2.54,21.04,13.19,0,0,0,0,2.03,0,0,6.93,0,2.68,17.8,0,150.61,0,3.96
