stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.29,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0.84,0,0,3.63,26.61,0,0,1.54,0,0,0,0,4.84,0,523.52,128.22,8.62,0,0,0,0
 24-34,0,0,3.61,2.17,0,16.66,401.23,0,0,1.51,0,0,10.01,11.32,0,0,0.98,0,0,15.44,0,0,99.46,185.28,0.61,2.84,7.38,0,0,13.62,0,0,3.46,435.89,187.7,33.6,0,11.45,0,0
 36-46,0,0.56,2.95,0,0,18.45,816.83,0,0.81,3.77,0,0,2.09,2.23,0,0,0,0,10.13,4.73,0.59,0,94.43,173.34,0,5.23,0,14.25,0,7.75,0,1.05,0,419.85,22.54,33.45,0,3.52,0,2.71
 48-58,0,0,3.18,3.36,0,45.27,490.28,7.13,4.14,16.1,0,0,1.69,0,0,0,0,0,3.42,20.05,0.37,0,41.65,197.83,6.45,0,0.49,0,0,5.01,0,0,0.42,201.99,0,32.36,0,3.15,0,13.64
 60-70,0,0,3.04,0,0,113.34,317.13,0,0,15.74,0,0,0,0,0,0,0,0,0,15.95,0,0.85,38.41,107.42,0,0,0,0,0,9.5,0,0,0,162.18,0,4.39,0,0,0,0
 72-82,0,0,0.52,10.35,0,57.17,188.1,0,0,8.52,0,0,0,0,0,0,0,0,0,15.51,1.68,1.23,25.77,86.58,0,2.42,0,0,0,4.61,0,0,0,68.74,0,5.16,0.5,6.68,5.09,2
 84-94,0,0,3.89,8.74,0,30.46,213.26,2.9,0,11.09,0.71,0,0.8,0,0,2.34,0,0,0,19.41,2.84,0,36.87,89.96,0,2.27,9.36,0,4.14,20.36,0,0,0,95,0,16.25,1.27,1.42,0.64,2.83
 96-106,0,0,5.15,33.83,0,98.06,361.99,1.69,1.78,19.72,3.42,1.06,0,2.32,0.96,0,0,0,0,49.01,8.22,7.22,27.92,126.89,0,0,0,0,0.87,19.43,1.35,0,0,110.83,0,14.38,0,14.93,1.75,6.2
108-118,1.73,0,8.4,6.09,4.71,85.03,368.38,1.46,2.06,3.52,0.62,0,1.4,1.35,0,7.85,0,0.53,0,42.83,5.43,2.87,53.37,146.13,0.81,1.17,5.1,0,4.36,16.75,0,0,0,133.95,0,0.94,0,0,0,6.12
120,0,0,8.94,0,0,12.2,439.15,0,0,7.21,1.74,0,2.29,13.27,2.95,6.28,0,11.05,0,97.61,0,0,86.64,200.01,2.42,0,15.55,0,5.08,2.03,0,4.48,3.93,88.5,0,15.43,0,3.14,0,0
