stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,124.15,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0
  7-9,0,3.95,0,0,0,0,4.33,0,0,0,0,0,0,70.13,0,0,6.47,0,0,0,0,0
 10-12,0,0,0,5.22,0,0,0,0,0,0,0,0,0,11,0,0,7.85,0,0,0,0,0
 14-21,0,0,1.25,0,0,0,0,0,0,2.95,0,0,0,4.11,0,0,0,0.91,1.3,0.83,2.07,0
 24-34,0,0,0,2.48,0,0,0,0,0,0,0,0,0,6.76,0,0,0,1.06,0,0,1,0
 36-46,0,0,0,7.61,0,0,0,0,0,3.74,0,0,0.61,7.35,0,0,0,0,0,0,2.16,1.81
 48-58,0,0,0,6.39,0,1.2,0,0,0.48,1.04,0,0,0,12.59,0,0,0,0,0,0,3.9,0
 60-70,0,0,0,7.55,9.34,0,0,0,0,0,0,0,0,22.48,0,0,0,0,0,0,0.74,0
 72-82,0,0,0,2.71,0,0,0,1.02,0,0.57,0,0,0,2.73,0,1.17,0,0,0,0,1.42,0
 84-94,0,0,0,2.42,0,5.87,0,0,0,0.58,0,1.05,0,1.27,0,1.52,0,0,0,0,0,0
 96-106,0,0,0,3.67,0,0,0,0,0,0.64,3.31,0,0,11.15,0,5.9,0,0,0,0,2.7,0
108-118,0,0,0,3.98,0,1.84,0,0,0,0.56,0,0,0,0.78,0.83,5.03,0,0,0,0,1,1.87
120,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,2.2,1.05,0,0,0,0,0,0
