stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,22.82,8.22,0,12.19,0,0,0,6.89,1.33,0,0,0,0,0,0.93,0,0,17.37,0,0,6.96,180.97,6.05,1.02,0,5.29,0,7.79,28.59,0.85,0,25.87,59.21,0,0,2.94,0,0
 24-34,0.62,0.65,10.17,3.46,0,31.53,0.67,3.22,0.68,7.44,1.69,0,0.8,0,1.98,0,3.97,0,0,23.02,0.61,0,17.97,362.87,2.56,6.62,4.36,0,0,18.98,1.03,0,0.87,2.01,79.79,0,0,9.04,0,1.45
 36-46,0,0,4.66,2.53,0,109.77,1.56,0,1.15,20.31,0,0,1.83,0,5.05,0.61,0.62,12.24,8.47,46.86,0,0.96,6.58,562.86,0,5.31,2.31,0,0,25.46,0,0,3.84,0,128.27,0,0,3.07,0,7.99
 48-58,0,0,9.34,1.29,0,196.07,1.79,0.38,1.22,32.89,0,0,0,0.49,0.46,0.38,0.85,0,2.51,61.95,0,2,8.72,488.23,14.37,0,0.54,0,0,7.43,0,0,0,0,117.1,0,0,2.15,0,6.93
 60-70,0,0,15.18,3.2,0,289.64,0,8.99,4.28,23.32,0.63,0,0.69,12.32,0,0.81,0.77,0,0,52.94,0,3.09,10.23,400.07,2.09,5.59,6.21,0,0,17.29,0,0.58,0,0,58.45,0,4.02,7.94,0,0
 72-82,2.41,0,7.8,7.18,0,272.84,1.52,3.17,3.84,45.17,4.57,1.02,0.51,0.72,0,0,1.73,0,0,109.66,0.71,5.03,6.38,410.29,5.8,1.82,5.03,0,0,9.39,0,0,1.5,0,39.69,0,3.66,8.31,4.47,0
 84-94,0,0,14.11,7.01,1.54,172.36,0,0,2.21,19.37,4.83,2.81,0,2.63,1.45,0.67,1.24,0,1.05,59.41,1.26,1.06,4.75,209.49,0.66,8.91,9.82,0,1.53,21.52,0,0,0,0,13.4,0.83,3.87,10.12,1.09,0
 96-106,1.11,0,12.65,23.7,0,158.36,4.47,0.93,1.05,40.82,3.95,0,0,1.15,0.85,1.14,0.63,7.08,0,54.64,3.21,0,2.61,227.84,2.04,6.18,2.08,0,3.05,27.19,0,1.33,0,0,7.07,0,3.83,3.98,2.04,0.58
108-118,0,0,15.16,12.34,1.08,146.15,0,1.46,2.03,35.67,3.63,0,0,2.83,3.87,0,1.18,0.56,1.8,51.88,1.95,1.44,7.43,227.44,1.78,7.28,9.89,0,0,19.91,0,0.55,0,0,16.52,0,0,8.72,3.72,2.73
120,3.64,0,24.23,27.25,1.14,157.2,1.47,1.55,0,51.27,0,0,7.76,6.36,1.65,0,5.57,3.15,0,74.45,5.12,0,12.52,294.69,0,0,10.78,0,0,25.8,0,2.39,0,0,34.44,0,0,35.46,17.34,0
