stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,1.25,0.9,101.74,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.84,0,1.01,0,2.72,0,35.8,0,0,5.57,0,229.29,0,7.8,0,0,0,0
 36-46,0,0,0,0,7.38,0,0,1.61,0,0,0,2.15,3.3,91.87,0,0,0,0,108.26,0.7,28.51,0,0,0,0.65
 48-58,0,0,0,0,1.5,0,3.41,14.82,0,0,1.72,1.51,0,43.72,1.9,0,0,0,49.21,0,9.7,0,0,0,0
 60-70,0,0,0,0,18.14,0,0.84,12.62,0,0,0,5.89,0,53.4,0,0,0,0,81.93,0,15.78,0,0,0,0
 72-82,0,0,0,4.68,12.47,1.14,0,6.65,0,0,0,11.1,1.23,46.13,0,0,0.57,0,21.56,0,22.04,0,0,0,0
 84-94,0,0,3.52,0,1.57,0,0,1.92,0,0,0,4.89,0,23.04,0,0,0,0,57.09,0,9.72,0,0,0,0
 96-106,0,0,10.67,0,28.66,0,0,10.27,7.73,0,1.45,0.96,0,48.37,0,0.85,0,0,35.1,0,6.52,0.88,0,0,0
108-118,0,0.89,7.2,0,15.47,0,0,15.21,9.71,0,4.97,6.69,0,25.04,0,0,0,0,37.21,0,0,0,0,1.05,0
120,0,0,3.17,4.91,1.59,0,0,30.12,0,0,0,39.57,0,26.15,1.11,0,1.58,0,29.15,0,0,0,1.52,0,0
