stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,44.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.48,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0,0,0
  7-9,14.08,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,37.89,139.8,0,0,17.32,0,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,9.55,0,0,78.92,0,11.52,0,7.08,0,0,0,0,0,55.96,0,0,0,0,0,0,0,0,0,0,0,739.9,832.11,0,0,38.28,0,0,0,43.88,0,0,0,0,0,0,0,0
 14-21,1.39,0,1.29,25.27,5568.33,101.66,0,36.08,0,51.82,0,5.29,2.21,23.55,11.65,0,19.2,0.87,0.84,0,0,1465.21,19.02,0,1442.31,461.74,7867.52,2.58,28.36,8.14,0,5.33,32.59,0,131.4,375.71,1173.37,0,0,8.62,0,0
 24-34,0,0.83,3.84,5.83,9893.84,9.57,0,145.94,25.52,370.96,35.55,37.56,5.73,1.31,43.78,2.32,16.85,2.26,11.94,5.54,1.94,4765.52,143.19,9.93,2097.81,1219.67,6420.8,24.7,65.62,1,9.32,41.29,3.44,0.91,111.04,142.04,1360.66,0,0,39.95,0,7.92
 36-46,0,0,0.78,0,8890.36,3.94,0,160.68,52.26,656.78,231.95,50.45,0,0,38.6,13.72,32.59,0,20.3,26.83,16.61,6899.76,87.56,21.09,1747.2,897.02,5123.59,35.55,92.34,0,11.08,45.92,3.64,1.31,128.63,14.16,471.26,0,14.64,25.27,0,13.27
 48-58,7.33,1.29,0.98,0,9151.51,3.87,0,405.53,40.49,1019.35,329.46,94.46,0.49,0,20.51,19.36,1.76,11.37,10.18,7.38,7.49,12980.06,94.85,51.18,1576.59,1485.75,4982.31,18.89,271.44,0,8.47,29.22,0,7.98,66.06,0,352.18,0,7.94,17.2,0,49.23
 60-70,3.99,0,2,0,7254.61,19.66,0,406.58,47.99,830.81,305.07,111.19,8.76,1.21,7.84,5.39,7.82,0,8.22,0,5.1,22438.3,100.15,63,1116.65,964.32,2150.39,25.95,376.02,0,11.9,38.02,0,1.12,33.17,0,176.37,1.23,48.44,21.06,14.04,29.96
 72-82,0,0,6.7,0.75,5702.37,43,2.97,1052.92,46.92,662.53,503.09,179.42,9.24,0,12.52,13.15,14.45,6.52,8.91,8.13,3.88,33752.1,82.05,145.89,1295.15,1045.96,514.1,50.49,561.69,0,42.25,43.76,4.38,20.57,12.05,0,101.45,2.74,96.71,18.43,45.04,77.84
 84-94,0.62,0,6.26,0,9952.66,32.85,0,1107.64,51.06,1126.78,266.96,162.48,8.72,0,16.81,14.69,25.86,25.46,3.81,8.29,35.76,27548.49,103.6,99.51,953.98,538.58,671.24,74.13,552.61,0,17.21,53.92,0,18.7,11.5,0,74.12,14.76,102.54,40.18,64.57,17.32
 96-106,0,0,5.2,0,9461.8,110.71,8.92,746.26,24.66,1039.94,292.25,203.84,12.59,0,33.6,9.51,17.44,10.73,7.94,38.31,0,20364.95,164.88,100.86,745.5,1067.46,220.73,100.89,690.76,0,25.65,96.99,0,13.32,11.03,0,48.85,14,138.08,37.5,62.66,52.47
108-118,0,0,7.68,2.44,9523.05,34.83,5.15,474.99,26.13,1349.6,245.69,202.11,11.37,0,6.52,18.75,26.2,5.42,16.35,14.52,0,18572.44,66.66,97.01,651.6,921.45,61.83,62.46,678.96,0,58.61,62.8,0,9.08,9.08,0,16.77,7.24,205,22.41,19.46,29.63
120,5.05,0,2.94,0,7165.2,34.87,7,458.13,35.16,986.44,272.76,175.26,37.9,0,14.82,13.49,17.18,26.94,13.75,14.33,0,17469.79,54.61,141.52,560.76,874.9,77.41,35.81,527.52,0,69.07,44.44,1.12,0,5.19,0,3.3,2.31,113.6,26.01,49.59,0
