stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,10.13,0,0,28.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.28,0,0,1.48,0,0,1.22,0,0,0,3.28,0,12.37,0,0,0.93,272.02,0,5.23,4.01,0,0,1.12,0.81,0,30.7,0,0,0,0,0
 24-34,0,0,5.7,0,0,37.54,0,0,28.2,0,0,0,11.85,0,7.35,0,0,24.8,420.28,0,7.96,2.34,0,0,0,0,0,21.18,0,0,0,0,0
 36-46,0,0,2.52,0,0,45.72,0,1.19,21.51,0,0,0,1.22,0,1.27,0,0,7.81,307,0,0.65,0,0,0,0,0,0,20.03,0,0,0,0,0
 48-58,1.29,0,0,0,0,25.72,0,0,2.54,0,0,0,2.07,0,1.13,0,0,1.76,423.56,0,0.95,0,0,0,0,0,0,12.72,0,0,0,0,0
 60-70,0,0,2.32,0,0,25,0,0,15.95,0,0,0,3.57,0,10.44,0.62,0,0,1050.12,0,0,0,0,3.55,0,0,0,20.87,0,8.02,0,0,0
 72-82,0,0.5,5.43,0.74,0,62.35,1.57,0,36.26,0.71,0,0,1.36,0,19.79,0,0,3.73,1414,0,0,0,0,0,0,0,0,31.48,0,13.23,1.04,0,0
 84-94,0,0,2.89,0,0,33.97,0,0,24.21,0,0,0,1.23,0,17.64,0,0,23.71,884.87,0,0,1.68,0,0,0,0,0,25.41,2.36,19.25,0,0.62,0
 96-106,0,0,6.8,0,0.66,72.42,0,0,47.43,0.98,1.03,1.38,3.65,0.7,16.57,0,2.64,0,1073.86,0,0,0.59,0,0,0,0,0.7,0.67,0,5.63,0,0,8.09
108-118,0,0,8.81,5.15,0,29.66,0,0,82.71,0.43,2.01,0,4.61,0,5.98,0,1.87,0,797.46,0.55,0,0,0,0,0,0,0,10.84,0,0,0,0,0
120,0,0,22.03,0,0,29.97,0,1.21,70.23,0,5.46,1.01,10.39,0,0,0,2.35,0,939.18,0,0,0,0,0,0,0,0,25.64,1.63,0,0,0,0
