stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,1.39,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,8.54,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0.62,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0.56,0,0,0,0,0,0,2.71,0,0
 60-70,0,0,0,0,0,1.28,0,0,4.08,0,0,0,6.31,0,0,0.93,8.44,0,0,0,3,0,3.52,0,0
 72-82,0,0.52,2.54,7.48,0,0,0,0,0.5,0,0.61,0,18.26,0.56,1.11,0,5.28,0,0,0,2.18,0,8.52,0.99,1.68
 84-94,0,0,0.79,1.28,0.92,0,0,0,0,0,0,0,7.56,0,0,0,19.39,0,0,0,3.42,0,0,0,0.89
 96-106,0,0.95,14.99,0.67,1.67,0,0,0,0,0,0.62,0,15.8,0,0,0,11.11,0,0.56,0.85,2.57,0,0,1.38,0.72
108-118,0,3.45,12.55,0.68,4.92,0,4,0.55,0,0,0.63,1.75,24.71,5.21,0,0,23.37,0.45,0.63,0,2.35,0,0,4.28,0
120,0,1.57,11.95,0,1.58,6.89,9.8,0,0,0,0,0,44.02,0,10.85,0,14.25,0,1.61,0,4.39,0,0,0,2.08
