stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.1,875.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.81,0,0,0,0,0,0,0,0
  5-6,22.92,1112.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.02,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,49.12,0,21.59,0,0,0,60.58,0,0,0,20.8,0,0,0,0,0,0,0,0,0,429.4,16.54,0,0,166.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.56,0,31.66,0,0,0,12.55,0,0,0,16.42,0,0,0,0,0,0,0,0,0,269.25,3.08,0,0,144.41,0,0,0,22.32,0,6.54,0,0,0,0
 14-21,0,0,0,0,16.92,5.28,0,4.91,0,1.54,1.99,0,0,0,0,0,0,7.79,0,0,0.82,61.56,0,5.27,0,1.81,0,0,9.79,0,0.99,6.66,11.36,0,0,0
 24-34,0,0,0,0.68,4.23,0,0,4.77,0,1.32,0,0,8.93,0,0,0.68,0,2.02,0.87,0.89,1.57,79.91,0,0,0,0,0,2.21,0,0,0,0.77,13.37,0,1.08,0
 36-46,0,0,0,0,1.33,0,0,12.26,0.57,3.95,0,0,0,0,0,0.67,0,9.98,0,0,1.1,63.42,0,0,0,0,0,0.63,0,0,0,0,14.99,0,0,0
 48-58,0,0,0,0,0,0,0,11.06,0.64,7.38,0,0,0,0,0,0,0,5.54,0,0.4,1.55,59.93,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0
 60-70,0,0,0,0,2.53,0,0,26.94,0.81,1.52,0,0,0,0.92,0,1.22,0,10.13,0,0.63,0,48.87,0,1.08,0,0,0,1.06,0,0,0,0,7.17,0,1.82,0
 72-82,0,0,0.62,0,2.75,0,0,15.03,1.01,2.69,0,0,0,0.61,0,0,0,14.78,0,0,0,29.26,0,0,0,0,0,0,0,0,0,0,6.31,1.19,0,0
 84-94,0,0,1.48,0,0.72,3.85,0,2.58,0,0,0,0,0,0,1.52,0,0.56,10.53,0,0,1.3,19.8,0,0,0,0,0,0.61,0,0,0,0,7.78,0,0,2.44
 96-106,0,0,0,0,2.24,5.88,0.8,8.48,2.11,8.11,0,0,0,0,0,0,0,7.28,1.74,0.75,1.9,11.76,0,0,1.56,0,2.93,2.47,0,0,0,0,12.01,0,2.75,0
108-118,0,0,0,0,0.46,0,0,8.28,0,6.07,0,0,0,0,0,0,4.66,17.68,0,1,2.28,27.16,0,0,0,0,0,0,0,0,0,0,3.92,0,0.46,0
120,0,0,0,0,0,0,0,1.11,0,19.42,0,0,0,0,0,0,0,9.83,0,0,3.68,20.52,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
