stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,pericytes,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,41.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.25,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0
 14-21,0,0,0,0,1.39,0,2.62,0,0,0,0.83,0.83,7.83,0,0,0,2.01,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.69,0.68,0,6.27,0,0,0,3.19,1.26,0
 36-46,0,0,0,1.8,0.75,0,0.84,0,0.65,0,2.29,0,10.62,0,0,0,2.25,0,0
 48-58,0,0,0,0,3.86,0,3.78,0,0,0,1.21,0,27.22,0,0.57,0,0.79,0,0
 60-70,0,0,0,4.55,1.82,0,0,0,0,0,6.01,0,9.55,0,0,0,0.59,0,0
 72-82,0,0,0.62,5.01,2.01,1.51,0,0,0,0,2.27,1.68,19.61,0.77,0,0,6.12,0,0
 84-94,0,0,0,2.07,3.57,0,0,0,0,0,0,0,8.34,0,1.48,0,2.98,0,0
 96-106,0,0,0,2.07,5.84,0,3.88,0.64,0,0,0,0,4.43,0,0,0,1.39,0,0.83
108-118,0,0,0,0,2.84,0,0.86,0,0,0,2.81,0,4.52,0,0,3.18,0,1.88,0
120,0,0,0,0,0,0,0,0,0,0,0,0,14.69,0,0,0,0,0,0
