stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.19,247.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.99,123.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35,4.58,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.98,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.02,10.09,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,3.87,1.6,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,87.82,0.81,0.98,0.81,0,0,0,0,0,1.05,40.02,0,0,0,0,0
 24-34,0,0,0,0,1.28,0,0,8.75,0,0,2.45,0,0,0,0,0,0,0,0,0.74,4.48,0,0,2.45,399.71,0,10.42,1,0,0,2.29,0,0,0.68,125.29,0,0,0.65,0,0.63
 36-46,0,0,0,0,1.07,0,0,25.12,0,0.97,10.65,0,0,0,0,13.14,0,0,0,0.71,4.78,0.59,0,5.75,912.6,0,13.65,0,0,0,2.48,0,0,0,168.15,0,0,4.62,0,0
 48-58,0,0,0.67,0,0.43,0,0,67.46,0,0,38.2,0,2.08,0,0,0,0,0,0,2.51,12.1,0,0,2.43,1115.77,0,10.8,0.93,0,0,8.23,0,0,0,162.58,0,0,5.52,0,3.75
 60-70,0,0,0,0,0.64,0,0,263.03,1.1,0,46.04,0,0,0.95,1.1,0,0,0,1.2,0,14.06,0,0,3.02,1455.92,0,5.78,3.17,0,0,0,0,0,0,189.4,0,1,6.31,0,0
 72-82,0,0,0,0,3,3.79,0,339.04,1.14,4.87,67.51,0,0,0,0.54,0,0,0,0,0,30.14,1.09,0,1.08,1368.31,0,10.8,1.87,0,0.59,0,0,0,0,128.67,0,0.81,9.73,0,0
 84-94,0,0,0,0,9.17,9.46,0,271.47,0,0,42.29,0,0,1.02,3.2,1.36,4.37,1.82,0,0.83,13.37,5.76,0,5.31,988.09,0,2.31,1.44,0,0,10.72,0,0,0,76.37,0,2.45,10.87,1.8,0
 96-106,0,0,1.1,0,1.91,7.56,0.59,219.58,0,0,66.58,2.33,0,0.76,2.65,0,0.6,0,0,0,19.62,1.61,1.41,2.81,599.96,0,14.98,3.03,0,0,6.77,1.35,0,0,15.43,0,0,9.29,1.1,0
108-118,0,0,0,0,10.18,0,0,263.91,0,1.17,42.85,0,0,0,2.36,3.41,1.24,0,0.45,0,9.32,0,0,0.79,772.58,0,4.03,1.06,0,0,0,0,0.51,0,22.76,0.89,0.85,11.8,0,0
120,0,0,0,0,10.63,0,0,276.91,0,0,101.96,0,0,3.84,3.6,0,2.93,0,0,0,20.49,0,10.4,2.62,1454.39,0,32.08,0,0,0,0,0,0,0,40.24,0,0,13.31,0,0
