stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,0,0,0,0,0,0,0,0,9.34,0,0,0,0,0,0,0,0,0,15.15,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,60.59,0,0,0,0,30.71,0,0,0,0,0,0,0,0,0,368.24,0,0,0,43.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,7.59,2.69,19.73,0,0,9.56,0,9.83,0.93,0,0,0,0,5.28,0,0,0,297.12,0,2.91,0,0,0,1.48,0,1.72,0,1.77,65.69,0,0,0,0,15.89
 24-34,0,0,0,3.59,0,31.92,0,0,6.18,0,0,0.82,0,1.11,0,0,2.29,0,0,6.22,254.74,3.42,0.75,0,0,0,0,0,0,0,0,52.45,0,0,0,0,2.04
 36-46,0,0,0,0.98,0,35.55,0,0,9.32,0,0,0,0,0,0,0,0.56,0.6,0,0,288.86,0,0,1.14,5.14,0,0,0,0,0,0,51.9,0,0,5.27,0,0
 48-58,0,0,0,6,0,140.09,0,0,15.8,0,0,0,0,0,0,0,3.29,0.46,0,0,464.73,0,0,0,0,0,0,0,0,0,0,54.03,0,0,9.72,0,0
 60-70,0,0,0,7.46,0,487.8,3.1,0,49.5,0,0,1.21,0,0,6.5,0,0.99,0.58,5.65,1.86,567.49,0,1.15,0,0,0,0,0,0,0,0,77.88,0,0,36.33,0.81,0
 72-82,0,0,0.68,7.39,0.71,798.8,0,1.43,82.92,0.67,0,3.08,0.59,0,3.24,0,27.29,0.56,1.86,1.72,578.36,0.56,0.95,0,0,0.71,0,0,0,0,0,46.34,0,0,33.57,1.13,0
 84-94,0,0,0.81,5.59,1.47,762.85,0,1.2,42.51,2.89,0,3.38,0,5.59,0.67,0,10.19,3.64,0,0,380.82,1.25,0,0,0,4.92,0.58,0,0,0,0,42.68,0,0,52.39,1.35,0
 96-106,0,0,0.61,5.65,0,1022.84,0,0,89.62,3.32,0,4.86,0,2.54,0,0,15.82,2.03,0,2.99,360.08,0,0.74,0,0,0,1.93,2.06,0,0,0,29.66,0,2.44,67.76,2.07,0
108-118,0,0,0,13.27,0,1007.21,0,0,98.12,0,0,3.72,2.34,2.95,0,0,20.87,3.11,0,0.63,475.66,0,1.3,6.56,0,0,14.82,0,0,1.48,0,44.52,1.54,0,49.58,4.77,0
120,0,0,0,30.21,0,425.18,0,0,75.93,3.75,0,0,9.58,1.94,0,9.22,5.01,15.1,0,0,634.66,0,2,0,0,0,24.26,0,0,0,0,25.33,0,0,67.16,0,0
