stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,116.66,1136.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.42,268.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07,0,0,0,8.2,0,0,20.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.62,0,0,0,37.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,16.48,0.97,0,0.84,0,0,1.11,0,0,0,0,0,1.41,0,0,0,0,0,4.32,1.42,0,0,0,0,5.2,0,0.98,0,1.2,2.81,0.93,0,0,0,0,0
 24-34,0,0,0,1.09,15.61,0,0,4.16,4.23,0,0,0,0,3.13,0,0,10.39,0,5.39,0,0,4.06,19.44,10.9,1.85,0,0,0,92.48,0,0,8.98,0,0,2.15,0,0,3.18,0,0
 36-46,0,0,0,0,15.56,0,0,3.41,0.74,0,0.73,1.44,0.89,9.47,0,0,0,0,3.32,0.77,0,0,7.28,2.89,1.41,0,0,0,96.22,0,0,33.87,0,0,6.74,0,0,0.87,0,0
 48-58,0,0,0,0,8.81,0,0,4.8,6.47,0.42,4.84,0.49,1.51,6.33,0,0,0.65,0.66,15.48,0,0.49,1.08,26.1,6.23,0,2.17,0,0,170.49,0,0,5.77,0,0,1.61,0,0,0,0,1.44
 60-70,0,0,0,0,33.18,0,0,5.93,8.79,0.88,2.03,8.9,0.66,24.97,1.16,0,12.46,3.12,68.3,0,0,0,12.53,1.09,0.6,0,0,0,143.79,0,0,8.44,0,0,0,0.92,0,0,0,0
 72-82,0,0,0,0,20.11,0,0,14.6,3.51,0,1.93,16.33,2.56,4.17,1.65,0.89,10.07,0,77.52,3.67,0,0,13.81,1.15,0,0.62,0,0,79.94,0,0,9.01,0,0,0,4.21,0,1.96,0,6.76
 84-94,0,0,0,0.61,34.67,0,1.17,12.96,10.98,2.12,0,39.14,0.58,13.04,0,3.19,16.31,0.72,115.61,1.43,0,0,8.38,0.9,0.69,2.43,0,0,250.24,0,0,15.19,0,0,2.19,1.74,0,3.21,0,0
 96-106,0,0,3.26,0.74,43.76,6.56,0,10.49,21.12,0,1.72,60.84,1.39,18.01,0,0.71,21.9,0,49.48,0.81,0,0,23.72,0,0.58,0.58,0,2.45,266.02,0,0,8.49,0,0,1.22,0.66,0,4.4,2.72,8.46
108-118,0,0,0,1.87,72.33,0,0,12.42,18.69,0,5.09,49.44,2.36,19.75,0,0,17.62,2.27,59.31,2.76,0,2.54,27.91,0,3.49,4.12,0,0,159.03,0,0,12.72,0,0,0,5.58,0,9.25,0,5.69
120,0,0,0,1.66,48.57,0,0,0,19.38,0,17.69,59.38,5.7,24.2,0,3.11,26.71,0,48.01,2.91,0,0,47.83,0,4,2.51,0,0,120.2,0,0,8.19,0,0,0,5.48,9.19,8.99,0,0
