stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,6.63,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,63.88,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.78,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.8,26,0,0,59.61,0,0,0,0,5.27,0,3.87,0,0,0,0,0
 14-21,0,0,2.18,10.08,11.62,35.93,0,0.92,0,0,1.87,0,0,0,0,0,0,0,1.84,24.58,0,0,45.92,232.76,4.1,0,0,0,0,1.76,10.46,48.48,7.7,162.1,383.04,213.99,0,4.58,0,0
 24-34,0,0,0,0,10.19,3.55,0,2.23,0,5.09,5.26,1,0,0,4.54,0.65,0,0.63,0,14.09,0,0,8.39,279.84,0,42.08,2.89,0,0,0.83,1.06,0,0,15.82,16.05,128.84,0,2.71,0,0
 36-46,0,0,0,0,4.02,0,0,15.51,0,15.57,0,0,0,0,3.36,0,0,0,0,13.4,0,0,13.14,505.31,0,20.92,0.61,0,0,0,5.17,0,0,8.99,0,38.02,0,0,0,0
 48-58,0,0,0,0,1.21,0,0,35.31,3.93,7.01,13.76,0,0,2.4,4.4,0,0,0,0,14.27,0,0.79,5.85,676.58,0,12.09,0,0,0,0,0.84,0,0,0,0,99.61,0,4.24,0,1.43
 60-70,0,0,0,0,0,0,0,52.03,0,2.43,4.21,0.95,0,0,9.22,0,0,1.16,0,6.77,0,0,0.77,667.35,0,10.68,0.63,0,1.03,2.98,1.28,0,0,0,0,245.49,0.9,1.54,0,5.13
 72-82,0,0,0,0,2.7,0,0,82.96,0,2.1,6.4,0,0,0,18.57,0,0,0.82,2.79,20.33,0,1.19,0,798.35,0,5.85,3.64,0,0,3.61,0,0,0,0,0,75.03,0.56,0.96,0,0
 84-94,0,0,0,0,7.59,0,0,62.68,0,0,31.02,0,0,0,25.32,0,0,4.27,0,3.2,0.58,0.72,0,554.41,0,11.47,1.46,0,0,6.11,0,0,0,0,0,57.07,0.71,7.55,0,0.7
 96-106,0,0,0,0,17.49,2.99,0,68.66,0,4.53,40.9,1.16,0,0.69,28.98,0,0,5.57,0.6,23.84,0,0,3.39,487.16,0,15.74,6.59,0,0,0.62,0.93,0,0.6,0,0,10.3,0,2.06,0,0
108-118,0,0,0.41,0,7.6,0,0.62,48.04,0.46,0.87,90.65,1.16,0,0,14.11,0,0.44,3.76,6.68,40.72,0,0,0.61,732.01,0,7.85,2.25,0,0,1.32,0,0,1.41,0,0,9.89,0,1.23,0,0
120,0,0,0,0,0,12.9,0,51.24,0,19.12,83.85,0,0,0,35.91,0,0,4.83,16.95,32.95,0,0,0,1090.68,0,22.84,0,0,0,0,0,0,1.56,0,0,2.33,0,5.55,8.57,0
