stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.82,0,27.02,2.72,0,5.05,0,0,7.86,0,3.89,0,0,0,0,0,2.32,2.16,8.91,0,0,0.83,81.17,3.83,3.01,0.92,2.94,0,0,13.79,1.01,3.49,11.72,48.29,0,0,1.09,0,1.72
 24-34,0,1.27,3.91,0,0,39.97,0.75,0,12.72,0,0,0,0.69,0,0,0,5.4,21.57,11.15,0,0.69,8.5,102.37,6.84,8.73,1.27,0,0,8.01,0.93,0.65,0,2.7,26.43,0,0,2.36,0,9.67
 36-46,0,0,0,0,0,34.11,0,1.09,4.84,0,0,0.99,0.56,0.77,5.01,0.57,1.56,56.92,5.22,0,0.68,2.54,91.67,1.44,0.66,0,0,0,2.2,0,0,0,0,17.58,0,0,8.16,0,19.89
 48-58,0,0,7.37,0,0,54.13,0.98,0,26.72,0,0.93,0.53,0,0,22.34,0,0,87.61,20.43,0,1.79,3.58,99.47,0,0.48,0.65,0,0,6.06,0,0,0,0,23.47,0,0.61,1.48,0,44.78
 60-70,0,0,10.64,0,0,100.55,0.61,1.64,17.94,1.2,0,0.9,1.96,0,15.19,1.36,0,39.38,31.4,0.65,0.89,2.09,110.68,0,5.93,0.86,0,0,10.43,0,0,0,0,16.03,0,0,3.98,0,26.81
 72-82,1.47,0,2.7,0,0,67.07,0,0,12.95,3.17,0,0,2.56,0.54,21.95,0,0,21.86,22.97,0,0,1.71,81.05,0.51,7.24,0.49,0,0,11.8,0,2.36,0,0,0.83,0,0,5.96,4.68,31.61
 84-94,1.42,0,14.17,0,0,114.21,0.58,0.94,19.17,7.28,1.91,0,4.11,0.8,28.33,0.8,10.1,88.03,29.65,1.32,7.72,2.84,84.54,0,1.79,9.53,0,0,53.44,0,4.84,1.43,0,5.22,1.77,1.05,10.03,2.78,23.06
 96-106,0,0,9.98,0,0,50.99,3.79,1.02,9.99,8.33,0,1.98,1.63,1.47,5.58,1.15,0,27.14,18.36,1.78,1.8,0.9,30.29,0.62,17.9,1.13,0,1.36,24.31,0,2.85,0,0,0.84,0,0,1.28,1.5,23.19
108-118,0,0,10.75,0,1.02,37.06,5.04,1.34,9.72,14.97,0,0,3.1,1.55,35.13,0,1.93,25.61,40.57,0,0,0.56,60.49,1.45,0,2.73,0,0,33.82,0,7.18,0,0,0.62,0,0,5.81,0,22.44
120,0,0,12.08,6.81,0,29.25,0,0,0,7.79,0,0,10.66,0,36.61,0,0,1.45,16.02,0,0,2.14,47.1,0,9.16,3.14,0,0,8.92,0,3.73,0,0,2.02,0,0,1.09,0,13.36
