stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  7-9,8.83,0,7.38,0,0,0,0,0,6.85,0,0
 10-12,0,0,0,0,0,0,22.06,0,0,0,0
 14-21,0,0,0.88,2.79,0,0,12.42,0,0,0,1.66
 24-34,0,0.78,0,1.05,0,1.32,39.8,0,0,0,5.45
 36-46,0,0,0,0.99,0,0.81,108.4,0,0,0.89,3.33
 48-58,0,0,0.76,3.37,0,0,23.12,0.77,0,0,2.87
 60-70,0,0,0,7.74,0,0.86,13.69,0,0,0,0
 72-82,0,0,3.88,3.23,0,7.17,16.54,0,0,0,0
 84-94,0,0,0,3.85,0,2.54,9.41,0,0,0,7.61
 96-106,0,0,0,0,0,1.62,3.22,2.11,0,3.47,0
108-118,0,0,2.54,0,0,0,5.85,0,0,0,0
120,0,0,0,0,1.43,0,0,0,0,0,0
