stage,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.69,0,0,0,0,0,29.88,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.29,0,0,6,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0.86,0,0,0,0.81,0,0
 24-34,0,3.24,0,1.11,0,0,0,0.94,9.45,0,0,0,0,0,0
 36-46,0,1.24,2.48,0,1.6,0,0,0,31.38,0,0,0,3.47,1.76,0
 48-58,0,0,0.79,0.63,0,0,0,0,31.12,0,0.4,0,0,4.75,0
 60-70,0,0,24.19,0,0,0,0,0,46.62,0,0,0,0,0,0
 72-82,0,0,6.24,2.57,0,0,0,0,72.37,0,0,0,0.93,1.81,1.24
 84-94,0,1.92,14.62,3.93,0,0,0,0,41.81,0,0,0,1.69,2.28,1
 96-106,0,0,7.05,0,0,3.33,7.39,0,70.38,0,0,0,1.02,0,0
108-118,0,2.5,1.22,1.3,0,0,0,0,71.77,0.59,0,0,0,0,0
120,0,0,13.65,0,0,2.31,0,0,78.12,0,0,0,0,0,0
