stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.37,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0.94,0,0,0,0
 24-34,0,2.06,0,0,0,0,0,0,0,1.73,0,1.64,1.2,0,0,0.78,0,0.76,0,0,0,0
 36-46,0,0,0,0,0.57,0,0,0,0,4.03,0,0,17.45,0,0,0.61,0,4.68,0,0,0,0
 48-58,0,0,0,1.08,0,0,0,0,2.22,2.1,1.25,1.77,19.31,0,0,0,0,3.73,0,0,0,0
 60-70,0,0,0,13.74,0,0,0,0,1.78,5.55,0,0.79,27.59,0,0,0,0,0.84,0,0,0,0
 72-82,1.15,0,0,1.48,1.51,0,2.03,0,0,2.28,0,0,17.61,1.1,0.54,0,0,0,0,0.5,0.96,0.76
 84-94,0,0,0,1.98,0,0.74,0,0,0,1.8,0,1.17,12.85,0,3.02,0,0,2.14,0,0,0,0
 96-106,0,0,0,5.36,0,0.69,0,0,1.56,10.18,0,0,8.36,0,1.29,0,0,0,3.09,0,2.45,3.2
108-118,0,0,0,0,0,0,0,0,0,0.69,0,0,3.94,0,0.86,0,0,0,0,0,0,0
120,0,0,2.21,0,0,0,0,1.07,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
