stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,35.98,0,0,17.5,0,0,7.71,0,0,0,0,0
 14-21,0,7.79,0.99,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,1.44,9.28,0,0,0.86,2.93,5.75,1.22,3.2,37.67,9.32,0,0
 24-34,0,0.81,0,0,1.22,0,0,0,0,0,0,0,0,0.72,0,0,3.35,0,2.01,9.34,0,0,0,1.49,0,0,0,0,2.55,0,0.7
 36-46,0,1.57,0,0,1.66,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0.72,6.37,1.25,0.62,0,0,0,0,0,0,2.86,0,0
 48-58,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0.38,2.16,0,0,7.96,0,0.44,0,0.49,0,0,0,0,5.73,0,6.57
 60-70,0,0,0,0,1,0,0,0,0,0,0,0,0,1.16,0,0,1.65,0,0.9,1.26,0,0,0,0,0,0,0,0,0.7,0,0
 72-82,0,0,0.63,0,3.62,0,0,0,10.53,0.99,0,0.66,0,0,0,0,5.64,0,0,6.25,1.45,1.38,0,4.07,0,0.9,0,0,4.5,0,0
 84-94,0,0,0,0,3.19,0,0,2.12,6.14,0.82,0,0,0,0,0,0,4.79,1.53,4.8,7.26,0,0.71,0,3.6,0,0,0,0,5.81,0,4.95
 96-106,0,0.94,0,0.6,3.75,0,0.9,0,1.22,0.62,0,0.73,0,0,0.79,2.42,8.76,0,0,6.93,0,0,0,1.6,0,0,0,0,0,3.44,0
108-118,0,0.44,0,0,4.68,0,0,0,4.51,0,0,0,2.43,0,0,0,13.53,0,1.1,3.77,0.54,4.1,0,1.77,0,0,0,0,0.42,0,0
120,0,0,0,0,5.78,0,0,0,0,6.74,0,0,0,0,0,0,19.01,0,2.14,12.6,1.26,0,0,1.62,0,0,0,0,0,0,6.81
