stage,blastomeres,endoderm,erythrocytes,eye,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,33.37,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0
  5-6,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.29,5.44,0,0,0,5.28,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,21.05,0,0,0,0,0,3.14,0,0,0
 14-21,0,1.03,0,2.95,5.99,0,5.12,0,2.15,24.07,0,0,0,0,0,18.94,26.18,0,0
 24-34,0,0.83,0.62,1.08,9.24,0,6.28,0,1.74,34.07,0,0,0.96,0,0,0,10.69,1.26,0
 36-46,0,0,0,3.86,0,0,1.42,0,0.63,15.93,0,0,0,0,0,0.65,3.06,0,0
 48-58,0,0,0,6.51,2.69,0,5.56,0,0.39,6.35,0,0,0,0,0,0,4.55,0,0
 60-70,0,0,0.61,1.33,0.64,0,1.64,0,0.67,6.71,0,0.62,4.04,0,0,0,0.57,0,0
 72-82,0,0,0,3.46,0.85,0,0,3.96,0,3.97,0,0,0,0,0,0.86,0,0,0
 84-94,0,0,0,4.75,0.56,0,1.59,0,0,3.09,0,0,0,0,0,0,9.67,0,0
 96-106,0,0,0,0.57,0,0.85,1.36,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.97,5.21,0,1.91,0,1.4,6.25,0,0,0,0,0,0,0,0,1.24
120,0,0,0,0,0,0,0,0,0,20.67,0,0,0,0,0,0,2.96,0,0
