stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,0,0,0,0,0,0,0,0,0
 10-12,0,70.36,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.38,0,0,0,0,0,0,9.78,0,0,0,0,0
 14-21,0,2.18,12.87,1.17,4.81,0,0,2.46,1.01,0,0,0,0,0,24.96,0,0,3.07,18.5,0,0,0,0,6.72,0.9,0,13.85,0,0,0,0
 24-34,0,1.95,4.32,0.66,20.99,0,0,2.15,1.68,7.68,0,0,0,0,45.65,0.63,0,11.21,49.24,3.17,0.69,0,0,4.8,0,0,9.82,0,0,0,0
 36-46,0,0,4.26,0,7.09,0,1.5,0.62,0,16.39,0,0,0,0,104.17,0,10.34,10.25,24.93,0.64,0,0,0,0,0,0,4.08,0,0,0,0
 48-58,0,0,0,0,6.67,0,2.11,1.31,0,1.11,0,0,0,2.28,23.21,0,4.24,1.38,13.33,0,0,0,0.82,0,0,0,6.95,0,0,0,1.19
 60-70,0,0,6.73,0,10.03,0,1.77,2.75,0.72,0,0,0,0,0,25.2,0,0,0,7.43,0,0.86,0,1.53,0,0,0,0,1.35,0,0,0
 72-82,0,0,0,0,3.15,0,1.65,0,0,0,0,0,0,0,28.89,0,1.62,0.67,8.74,0,1.4,0,0,0,0,0,2.71,0,0,1.44,0
 84-94,0,0,0,0,5.12,1.97,3.04,8.8,0,1.91,0.84,0.73,0,0,28.57,0,2.15,0,0.75,0,0.92,0,0,0,0,0,1.73,0,3.46,2.25,0
 96-106,0,0,0,0,5.28,0,0.64,11.78,0,0,0,1.55,0.64,0,31.1,0,0.76,0,1.29,0,1.8,0,0,0,0,0,4.82,1.86,0,3.41,0
108-118,0,0,0.43,0,9.52,0.58,4.4,11.89,0,0.8,0,0,0,0,48.08,0,0.45,0,10.11,0,1.42,0,0,0,0,0,0.61,0.84,0,0,0
120,0,0,0,0,19.19,0,0,26.5,0,0,0,0,0,0,25.32,0,0,1.02,11.02,0,7.57,0,0,0,0,0,2.31,0,0,0,0
