stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,36.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.57,0,0,0,0,5,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.92,0,0,0.86,0.91,0,0.85,0,0,0,0,14.19,0,2.48,8.15,1.65,0,0,4.2,0,0,0
 24-34,0,0,1.99,5.61,0,41.93,0,0,0,0.68,0,16.92,0,0,0,0,60.75,4.84,14.46,24.26,0.68,0,0,9.6,0,0,0
 36-46,0,0,0,0,1.22,27.64,0,0,4.92,0,0,11.64,0.64,0,0,0,56.57,11.17,2.17,15.21,0,0,0,15.87,0.85,0,0
 48-58,0,0,0,0.53,0,27.46,0,0,19.13,0,0,10.12,0,0,0,0,57.72,9.91,1.91,23.8,0,0.53,0,4.48,0.51,0,0.5
 60-70,0,0,0,0,0,40.31,0,0,104.6,0,0,8.41,0,0,0,0,92.98,25.55,8.72,38.66,0,1.08,0,2.73,2.92,0,1.77
 72-82,0,0.62,0,0.52,0,43.97,0,0,117.62,0,0,30.06,0,0,0.65,0,59.11,54.9,7.65,28.18,0,7.79,1.39,4.27,1.06,0,5.9
 84-94,0,0,0,1.52,0,94.61,0,0,115.99,3.93,0,14.55,0,0,0,0.57,44.12,49.45,1.4,21.18,0,1.65,0,1.02,6.87,2.1,9.23
 96-106,0,5.6,0,0,0,69.56,0.57,1.12,52.02,0,0,12.68,0,0,0,0,66.56,39.5,3.17,13.29,0,1.44,0,0,1.01,0,0
108-118,0,3.71,0,0,0,103.67,0,0,106.42,4.48,0,9.73,0,0.68,0,0,48.56,41.15,3.16,8.8,0,12.2,0,2.39,1.44,0,2.97
120,0,0,0,0,0,35.65,0,3.89,123.75,0,0,19.54,0,0,0,0,94.85,38.19,0,32.51,4.64,0,0,0,0,7.1,7.86
