stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.73,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,12.26,31.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.98,3.99,0,0,26.59,0,0,0,13.71,0,0,0,0,0,0,0
 14-21,0,3.31,829.66,1.82,0,1.54,0,0,0,0,0,0,0,37.77,0,0,0,1.34,0,0,15.82,2.19,0,0.94,0,1.72,0,5.19,0,0,9.09,0.92,0,0,0,0
 24-34,0,0,16.87,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0.66,0.62,0,0,3.7,0,0,0,0,0,0,0,0,0,2.49,1.33,0,0,0,0
 36-46,0,0,0.98,0,0,47.48,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,5.65,0.6,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0
 48-58,0,0,0,0,0,87.14,0,0,1.97,1.3,0,0,0,0,0,0,0,4.75,0,0,67.82,0,0.64,0,0,0,0,0,0,0,0,4.37,0,0,0,0
 60-70,0,0,0,0,0,3090.77,0,0,0,3.6,0,0,0,0,0,0,0,2.48,0,0,59.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,20.63,0.57,0,6168.38,0,0,0.61,23.78,0,0,0,0,0,0,5.32,18.51,0,0,99.83,0,0,1.37,0,0,0,0,0,0,0,14.71,0,3.41,0,6.25
 84-94,0,0,6.3,3.07,0,5066.06,0.76,0,0,54.61,0,0,0,0.8,0,0.73,1.22,49.77,0.57,0.98,88.11,0.65,1.18,2.15,0,0,0,0,0,0,0,0.64,0.64,0,5.55,7.74
 96-106,0,0,34.69,10.92,2.17,11382.81,1.41,0.96,0,66.33,1.83,0,0,2.13,1.85,0,10.14,79.01,0,2.39,161.51,0.75,0,0,0,10.26,1.35,0,1.06,1.44,0,9.76,1.21,5.84,0.69,20.99
108-118,0,0,6.76,9.87,5.65,5227.07,0.55,0.55,3.94,38.49,0,2.59,2.43,0.49,0,0,0.46,69.94,0.53,0,163.75,0.75,0,6.37,0,6.27,0.42,0,0,0,0,2.17,0,0.93,3.26,2.59
120,0,0,4.65,6.95,0,2488.86,3.97,2.12,0,12.48,1.38,0,0,0,0,0,11.85,37.11,0,2.38,170.05,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0
