stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,138.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.02,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,110.88,0,0,10.72,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,41.95,0,0,14.08,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,2.85,0.84,2.7,0,0,0,0,0,0,0,0,0,3.82,0,0,4.39,29.29,0,0,0.96,0,0,3.95,0,4.21,3.69,0,0,0
 24-34,0,0,0,0,0,3.94,0,0.71,0,0,0,0,0,0,0.68,3.66,0,0.69,2.09,43.94,0,0,0,0,1.07,0,0,0.84,6.36,0,0,0
 36-46,0,0,0,2.58,0,7.92,0,0,3.49,0,0,0,0,0.72,0,2.77,0,0,2.07,17.74,0,0,0,0,1.56,0,0,0,6.33,2.17,0,0
 48-58,0,0,0,4.59,0,18.4,0,0,4.54,0,0.4,0,0,0,0,5.38,0,0,0.57,19.69,0,1.57,0,0,0,0,0,0,2.56,0,0,0
 60-70,0,0,0,0,0,16.05,0,0,14.19,1.58,0,0,0,0,0,4.4,0,0,0,19.14,0,0,0,0,0,0,0,0,8.03,0.6,0,0
 72-82,0,0,0,0.68,0,8.22,0,0,2.02,0,0,0,0,2.05,0,4.3,0,1.09,0,16.79,0,0,0,0.71,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.18,7.58,0,0,0,0.6,1.46,0,0,0,0,14.24,0.61,0,0,9.64,0,0,0,0,2.35,0,0.57,0,2.91,1.01,2.91,2.42
 96-106,0,0,0,0,0,2.79,0.71,0,4.73,0,0,1.95,0.95,0,0,2.99,0,0,0,3.86,0.87,0,0,0,0,0,0,0,0,0,0.92,0
108-118,0,0,0,0.5,0,4.29,0,3.53,0.92,0,0,0,1.03,0,0,9.12,0,0,0,10.99,1.35,0.78,0,0,2.55,0,0,0,0,0,0,0
120,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,19.29,0,5.64,0,17,0,0,0,0,0,0,0,0,0,0,0,0
