stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,61.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,71.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.59,0,25.57,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,13.48,0,6.77,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0
 24-34,0,0,0.61,0.62,0,0,0,0,0,0,0.76,0,0,3.8,0.74,0,16.18,0,0,0,0,3
 36-46,0,0,0,0,0,0,0,0,0,0.72,0,0,0,1.11,0,0,24.24,0,4.82,0,0,0
 48-58,0,0,0,1.53,0,0,0.39,0,0,0,0,0,2.26,0.52,0,0,27.41,0,0,1.33,0,0
 60-70,0,0,5.24,0,0.82,0,0,0,0,0,0,1.76,0,3.39,0,0,45.59,0,0,0,0,0
 72-82,0,0,0.53,0,0,0,0,0,3.87,0,0,1.52,0,2.89,0,0,35.26,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.08,0,0,0,0,8.34,1.26,0,50.61,0,0,0,2.42,0
 96-106,0,0,6.65,0.93,0,9.34,0,1.59,0.74,0,0,0,1.52,16.59,1.31,0,102.7,0,0,0,0,0
108-118,0,0,1.01,5.89,0.74,0,0.98,1.13,1.52,0,0,1.4,4.46,2.23,0,0,43.96,0,0,0,0,0
120,0,0,16.02,0,3.05,0,10.51,0,4.19,0,0,0,5.16,2.49,0,0,80.94,0,0,0,0,0
