stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,iridophores,liver,mesenchyme,neural,olfactory,periderm,spinal_cord,xanthophores
 14-21,0.82,0,0,0,0,0,0,0,0,5.08,0,0,3.04,0
 24-34,0,1.32,1.87,0,0,0,0,0,0,86.09,0.97,0,12.14,0
 36-46,0,0,0,1.13,0,0,0,0,1.6,140.25,0.56,0,13.69,0
 48-58,0,1.84,13.96,1.48,0,0,0,0,0.86,232.31,0.89,0,27.01,0
 60-70,0,0,39.27,0,0,0,0,0,0,247.42,2,0,14.67,0
 72-82,0,0,20.25,3.2,0,0,0,0,0,274.43,0,0.57,9.46,4.56
 84-94,1.75,0,16.07,0.75,3.39,0,0,0,0,133.01,0,0,2.8,0
 96-106,0,0,31.75,2.27,0,0,1.2,10.33,0.99,139.53,3.15,0,2.34,0
108-118,0,1.13,29.27,1.25,0,0,0,0,0,135.05,1.57,0,4.33,0
120,0,0,57.63,0,3.22,4.1,0,0,0,312.15,0,0,16.16,0
