stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord
 14-21,0,0,0,0,0,1.22,0,0.84,0,0,0,0,1.03,0
 24-34,0,0,0.99,2.53,0,0,0.89,6.51,0.99,0,0,0.85,0.99,2.84
 36-46,3.34,0,1.77,0,0,2.55,0,10.37,0,0,0,14.28,0,1.07
 48-58,0,1.78,2.53,0,0,0,0,4.75,0,1.14,0,6.68,0,0
 60-70,0,0,0,0,0,0,0,2.19,2.9,0,0.72,3.77,0,0
 72-82,3.73,1.3,0,0,0,0,0,0.52,0,0,0,2.46,0,1.73
 84-94,0,0,0,1.64,0,0,0,0,0,0,0,0,0,5.36
 96-106,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.42,0,0,1.94,0,0,0,0,0,0
120,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0
