stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,43.84,13.17,103.86,120.44,0,4.06,0,2.04,0,4.47,4.17,14.07,30.2,24.72,0.96,0,0,60.59,2.08,130.2,0,0,43.5,211.84,17.8,3.67,1.82,8.05,0,2.86,56.12,2.55,31.86,43.15,105.86,0,0,29.86,0,11.27
 24-34,0.88,46.39,7.36,36.58,21.02,0,14.9,0.72,11.03,3.49,3.82,9.22,7.36,22.07,145.82,20.75,3.08,0.63,29.87,17.02,77.68,2.84,0,29.8,388.53,28.42,6.62,2.86,10.77,1.14,110.62,0,17.64,5.44,13.59,134.66,0,0,139.85,0,23.04
 36-46,0,36.53,0,22.72,13.46,0,18.29,3.43,8.26,5.84,11.88,2.82,0,17.63,268.17,22.51,1.3,3.81,35.29,127.52,73.87,4.21,0,17.11,535.38,36.78,10.72,7.21,0,0,277.85,0,14.45,5.39,2.23,169.69,0,0,88.75,0,26.32
 48-58,1.35,18.51,0,46,0.43,0,53.81,3.1,9.58,9.59,26.9,15.82,2.22,4,218.51,11.2,1.15,0.51,11.73,55.83,69.32,7.47,2.59,16.76,416.7,35.13,6.63,4.99,0,0,341.24,0,5.01,7.1,0,113.82,0,0,80.64,0,58.15
 60-70,0,16.03,0,56.05,19.81,0,229.57,1.46,24.98,38.9,29.49,16.17,9.37,5.48,403.84,25.61,41.06,3.11,22.87,50.46,159.73,4.89,21.18,15.36,667.42,55.4,6.26,3.49,0,1.73,605.87,0,26.99,4.32,0,116.53,0,2.13,83.26,0.98,47.44
 72-82,0,28.38,0,53.47,14.18,0,353.27,7.57,20.17,50.9,46.07,48.97,1.67,17.39,364.08,23.13,19.97,1.65,20.63,21.55,244.97,24.43,13.11,25.02,705.19,15.33,8.49,8.13,1.13,1.2,688.07,0,56.75,0,0,92.28,2.59,7.81,131.82,11.4,45.08
 84-94,1.23,40.7,0,135.95,54.65,0,315.94,1.81,50.42,33.8,50.46,62.77,1.89,12.66,468.78,31.99,19.92,1.99,20.36,57.93,208.94,25.13,15.58,17.11,469.37,33.14,7.26,10.73,0,1.2,1987.83,0,143.39,0.83,0,76.9,4.23,5.68,150.03,17.22,38.78
 96-106,0,29.75,1.72,182.18,26.84,1.14,464.09,6.49,51.54,24.4,41.59,193.4,0,17.61,507.19,63.31,12.12,6.69,62.32,29.31,285.13,18.3,15.49,27.05,502.54,23.23,16.14,5.5,0,12.93,1559.97,0,155.7,0,0,25.75,6.05,10.62,192.23,15.03,82.69
108-118,0.67,31.48,5.03,217.44,23.58,0,419.01,5.18,77.72,35.59,67.24,267.77,2.74,14.79,470.02,70.74,41.63,4.18,26.69,39.52,353.1,26.45,15.02,20.78,596.89,47.37,15.45,8.3,0,10.24,1391.94,0,151.42,1.15,0,28.68,2.46,6.89,132.23,16.29,48.82
120,0,35.28,1.91,240.83,39.11,5.27,374.87,10.38,72.07,52.37,114.87,337.29,0,12.61,790.35,48.63,15.48,0,15.57,10.17,367.93,12.67,85.94,6.95,1124.37,126.49,5.79,19.53,0,0,1076.19,0,170.2,0,0,52.62,5.9,0,178.63,32.61,30.51
