stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.39,103.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0
  5-6,16.43,150.97,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,6.15,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,6.31,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,0,0,3.82,3.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,4.77,0.91,0,0,1.24,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0.61,0,0,3.02,0,0,0,0,0,0,0,3.71,6.26,0,0,5.96,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,2.97,0.6,0,0,13.53,12.01,0,0,12.57,0,0,0,1.13,0,0,0,0
 48-58,0,0,0,0,0,0,0.37,0.94,0,3.75,0,0.87,0,2.93,0,0.4,4.91,1.56,0.59,2.12,0,6.01,10.15,0,0,0,0,0,0,0.51,0,0,0,0
 60-70,0,0,0,0,0.8,0,0,0,0.85,0,0,0,0,11.97,0,0,0,0,2.67,1.27,0,9.6,21.52,3.74,0,0,0,1.84,0,1.23,0,0,0,0
 72-82,0,0,0.62,0,2.3,0,3.13,0,0,3,0,0,0,44.45,0,1.95,0,0,1.4,0,0.57,14.87,74.6,13.09,0,0,0,0,0,0.88,3.01,0,0,0
 84-94,0,0,1.29,0,2.53,0,3.67,0,0,0,4.57,0,0,35.25,0,3.74,0,0,7.82,0.76,0,36.02,32.35,7.53,0,3.2,0,0,0,6.13,15.87,0,0.63,0
 96-106,0,0,0.63,0,22.16,0,8.34,0,0,3.72,28,0,1.91,87.91,1.03,2.55,0,0,1.73,0.78,0,24.55,112.09,10.16,0,0,0,0,0.6,0,11.55,1.03,0.74,0
108-118,0,0,0,1.06,13.31,0.62,0.88,0,0,0.44,123.7,0,0,67.84,0.87,4.95,1.1,0,0.5,1.54,0.94,15.24,82.28,22.54,0,6.48,0,0,0,0,17.5,0,2.39,0
120,0,0,3.99,0,4.16,0,9.54,0,0,21.14,149.37,0,1.78,51.73,0,9.9,8.91,0,10.21,0,0,35.63,147.47,24.24,0,0,0,2.89,0,0,16.76,0,0,5.05
