stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.28,508.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.35,590.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.3,0,4.28,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,112.78,0,0,0,20.64,0,10.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.62,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,15.18,0,0,0,13.4,0,3.1,0,0,0,6.54,0,0,0,0,0,0
 14-21,0,0,0.82,0.88,4.01,0,0,0,0,0,0,0,0,0.99,0,0,10.89,0,0,0,0.93,0,0,0,3.07,0,0,0,0,0,66.5,2.2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.01,2.55,0,0,0,0,0,0,0,0.63,0,0,9.3,1.46,0,0,0,0,8.19,0,0,5.6,0,0,0,0,0,89.27,0,0.76,0.66,0,1.57,0,0,8.07,0,0
 36-46,0,0,0,0,3.52,0,0,0.56,0,0,0,0,1.98,0,0,9,6.07,0,0.67,3.22,0.78,4.22,1.33,0,12.41,0,0,0,0,0,92.96,0,0,0,0,2.98,0,0,19.23,0,0
 48-58,0,0,0,0,9.43,0,0,1.04,0,0,0,0,1.51,0,0,12.6,13.84,0,0.45,1.39,1.39,4.31,0.42,0,10.8,0,0,0,0,1.46,86.85,0,0,0,0,0,0,0,23.68,0,0
 60-70,0,0,0,0,5.25,0,0,7.14,0,0.63,0,0,6.96,1.77,0,21.52,11.13,0,0,5.78,5.27,5.92,0.67,0.73,4.58,0,0,0,0,0,67.33,0,0,0,0,0,0,3.7,15.75,0,0
 72-82,0,0,1.82,0,14.04,0,0.76,1.17,0,1.08,0,4.53,32.79,0,0,17.1,14.13,0,0,3.94,6.5,5.24,3.75,0.69,40.94,0.82,0,0,0,1.03,63.3,0,0.6,0,0,0.96,0,0,31.35,1.09,2.33
 84-94,0,0,1.05,0,41.57,0,0,0.84,0,2.39,0,0,71.07,0,0,32.39,13.81,0,0,9.12,22.44,12.66,0,2.03,8.5,0,0.9,0,0,0,184.82,0,0.74,0,0,0,2.33,0,40.7,0,0
 96-106,0,0,8.18,0,60.63,1.29,0,18.77,0,5.39,1.21,9.67,149.21,0,0,39.44,17.69,1.18,4.89,17.81,27.86,13.23,0,1.73,42.14,0,0,0,0,7.72,220.2,0,0,0,0,10,10.94,4.09,42.82,0.69,2.49
108-118,0,0,1.33,0,118.52,2.06,3.04,18.23,3.42,14.05,0,0.84,255.47,0,0.8,39.68,14.47,0.66,0,17.91,27.1,12.24,2.33,1.96,56.1,0,0,0,0,0,166.73,0,1.01,0,0,3.24,10.99,0,51.72,0,2.39
120,0,0,21.96,0,158.54,0,0,0,0,10.71,0,0,217.87,0,0,82.01,20.71,2.67,2.64,14.82,16.71,1.31,0,1.57,98.75,0,1.48,2.44,0,0,148.08,0,7.26,0,0,0,10.65,0,8.51,0,0
