stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,82.67,2572.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,445.79,7630.27,0,45.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.18,16.8,0,0,13.26,0,154.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,353.69,610.58,0,1685.47,0,0,0,2061.32,0,0,0,0,138.58,0,0,0,0,0,0,0,0,0,17178.28,325.02,0,0,1721.69,0,4.39,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.29,0,667.02,0,10.2,0,165.07,0,0,0,0,17.21,0,0,0,0,0,0,0,0,0,2560.44,131.21,0,0,513.81,0,3.07,5.47,0,17.65,0,9.86,0,0,0,0,0,0
 14-21,0,0,0,12.08,56.02,4.61,0,7.32,0,0,0,6.73,0,0,0,0,0,0,38.09,0,0,19.68,137.04,6.83,0,0.93,1.12,0,0,0,6.78,3.06,25.24,110.06,98.09,0,0,0,0,0
 24-34,0.88,0,0,11.36,49.49,1.93,0,12.14,6.28,0,0,0.64,0,13.4,2.46,0,0,4.53,83.27,6.69,0,33.67,124.08,0,0,1.09,0,1.61,0,0,0,12.4,2.67,4.9,59.8,0,0,8.27,0,0
 36-46,0,0,0,0.56,21.54,1.12,0,3.97,18.17,0,2.68,0,0,5.96,1.37,0,0,1.07,59.58,0,12.55,13.02,68.49,1.14,0.6,0,0,0,0,0,0,11.67,0.61,0,18.03,0,0,2.19,0,4.38
 48-58,0,0,0,0,37.48,0,0,7.43,9.4,0.85,3.82,0.9,0,6.78,2.5,2.16,1.37,2.11,38.92,0,4.64,8.71,47.36,0,0.43,0,0,0,0,0,0,5.77,0,0,12.03,0,0,9.08,0,0
 60-70,0,0,0,0,24.39,0,0,18.01,26.68,0,1.43,2.89,0,1.39,17.41,0.58,12.48,0,43.63,1.91,0,1.17,47.23,0,0,0,0,0,0,0,0,8.18,0,0,5.81,0,0,0.85,0,0
 72-82,0,0,0.87,0,32.81,1.55,0,38.99,8.35,0.61,1.84,5.8,0,0,10.77,0,1,3.49,49.01,0,8.77,9.51,82.12,1,0,0,0,2.36,0,0,0,5.61,0,0,8.49,0.95,0,1.63,1.95,0
 84-94,0,0,0,0,66.26,0,0,104.55,16.45,0,0,6.84,0,0,18.28,0,2.27,0,34.74,0,4.19,3.8,61.8,0,0,0,0,0,1.24,0,0,11.96,0,0,4.27,14.85,0.77,7.12,1.95,0
 96-106,0,0,0,0,56.65,12.69,0,178.77,8.31,0,2.02,2.02,0,0.78,32.08,0.86,0,7.59,57.78,2.48,15.36,0,70.71,0,0,0,0,0,4.31,0,0,9.9,0,0,0,26.57,1.82,20.43,13.05,1.41
108-118,0,0,0,0,83.71,0.98,0.84,239.06,13.46,0,0.54,9.1,0,0,36.78,2.11,7.52,0,55.46,1.08,11.18,6.05,86.67,0.81,0,0,0,0,1.04,0,0,10.72,0,0,0,33.61,0,12.1,4.06,0.46
120,0,0,0,0,94.45,0,0,108.02,5.39,5.27,0,11.65,0,2.27,45.73,0,0,0,48.92,0,10.45,10.44,116.49,0,0,0,0,0,2.41,2.5,0,0,0,0,14.82,4.86,0,10.58,5.15,0
