stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,76.04,4942.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.28,0,0,0,0,0,0,0
  5-6,19.74,1034.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61,0,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,0,4.32,0,0,0,19.55,0,0,0,0,0,0,0,0,0,0,0,0,153.59,5.77,0,0,9.02,0,0,45.49,0,0,0,0,0,0
 10-12,0,0,0,22.89,0,0,0,22.25,0,0,0,0,10.59,0,0,0,0,0,0,0,173.63,0,0,0,6.86,0,5.07,10.79,0,0,0,0,0,0
 14-21,0,0,0,0,21.65,1.61,0,2.97,0,0,0,0,11.75,3.9,0,0,1.19,5.42,0,0,10.92,0,1.08,100.06,0,0,4.68,0.91,0.83,1.22,2.19,0,0,1.22
 24-34,0,0,0,2.75,8.69,0,0,2.4,0.7,0,0,3.37,4.49,18.61,0,23.65,0.68,0,4.02,0,25.78,0,10.64,60.13,0,0,2.26,0,0,2.79,1.36,0,0,0
 36-46,0,0,0,0,4.86,0,0,1.69,1.6,0,0,0,0,0.56,0,9.77,0,0,0,0,22.44,0,3.84,36.34,0,0,1.9,0,0,6.38,0.58,0,0,0
 48-58,0,0,0,0,4.97,0,0,5.68,2.63,0,0.77,0.92,1.54,0.82,0.51,12.9,0,0.74,0.69,0,19.2,0,5.59,36.58,0,0,1.94,0,0,0,3.17,0,0,0.42
 60-70,0,0,0,0,13.08,0,0,12.7,5.55,0.84,11.25,2.65,4.08,14,0,28.47,0,0,3.03,0,15.86,0,8.5,40.53,0,0,6.63,0,0,0,1.84,0.73,0,0
 72-82,0,0,2.69,0,10.02,0,0,32.95,3.16,0.71,5.37,3.22,0.59,1.44,0,35.96,0,0,2.77,6.72,33.79,0,26.71,39.92,0,0,3.5,0,0,0,4.73,8.21,0,0
 84-94,0,0,7.18,0,12.13,0,0,32.26,7.37,0,3.19,4.84,6.55,8.7,1.45,26.84,0,0,2.29,0,18.31,0,21.93,43.48,0,0,3.87,0,0,0,0,21.51,0,0
 96-106,0,0,2.41,0,15.03,7.44,0,8.05,17.07,0,16,5.45,0,4.03,0,48.95,0,2.93,1.98,0,34.33,0.86,24.18,44.05,0,2.45,2.61,0,0,0,5.85,19.1,0,1.79
108-118,0,0,1.65,0.49,8.65,0,6.6,16.98,19.86,0,26.98,14.28,0,10.6,0,41.68,0.76,3.76,1.29,0,30.31,0,14.99,31.45,0,0,6.33,0,0,0,2.05,26.23,0.43,3.13
120,0,0,3.74,0,12.83,0,0,39.15,10.97,0,26.78,45.52,0,2.4,0,25.29,0,0,0,0,6.79,4.62,2.89,50.67,0,0,3.47,0,0,0,0,24.18,0,0
