stage,blastomeres,epidermis,eye,fin.epithelia,glial,heart,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,23.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.59,0,3.6,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.35,0
 24-34,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.96,0,0,0.62,0,0
 48-58,0,0,1.11,0,0,0.38,0,0,0,0,0,0,0,0,1.17
 60-70,0,0,0,0,0,0,0,0,0.6,9.59,0,0,0,0,0
 72-82,0,0,0,3.67,0,0,1.42,0,0,4.77,0,0,0,0,0
 84-94,0,0.75,2.45,0,0,0,0,0,0,0.92,0,0,0,0,0
108-118,0,0,2.12,0,1.86,0,0,1.63,0,0,0.42,0,1.97,0,0
120,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0
