stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,1.13,0,0,0,0
 24-34,0,0,0.72,0,0,0,0,0,0,0,0,0,23.85,0,0,0,9.77,0,0,0,0
 36-46,0,0,51.74,0,0,0,2.14,0,0,0,0,0,126.15,0,0,0,27.66,0,0,0,0
 48-58,1.3,0,232.6,0,1.71,0,1.18,0,0,1.34,0,0,184.12,0,0,0.54,17.63,0,0,0,0
 60-70,0,0,731.17,0,0,0,9.96,0,0,2.1,0,0,293.3,0.75,0,3.87,7.95,0,0,0,0
 72-82,0,0,639.89,0,0,0.82,20.64,0,0,2.02,0,0,440.63,0,0,0,29.02,0,0.6,1.22,0
 84-94,2.02,0,492.77,1.52,0,0,7.21,0,0,12.59,0.58,0,458.28,0,0,0,8.9,0,0,0,0.82
 96-106,2.88,1.2,328.59,0,0,0,14.46,0,0,8.54,0,1.63,261.09,0,0,8.92,9.92,0.59,1.19,0,0
108-118,0.43,0,372.8,0,0,0,9.9,0,4.79,1.06,0,0,361.67,0,3.23,0,9,0,0,0,2.83
120,2.71,0,487,0,0,0,27.17,3.35,7.47,2.11,0,0,801.75,0,3.36,0,1.7,0,0,0,0
