stage,epidermis,eye,fast_muscle,glial,mesenchyme,neural,olfactory,otic,slow_muscle,spinal_cord
  7-9,0,4.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.19,0,0.8,0,0
 24-34,0,0,0,0,0,0.94,0,0,2.85,0
 36-46,0,0,0,0,0,2.95,1.6,0,4.21,0
 48-58,0,1.6,0,0.91,2.95,2.87,1.24,0,2.16,1.8
 60-70,0,3.11,0,0,0,2,0,0,1.56,0
 72-82,0,21.97,1.37,0,0.94,6.79,1.37,0,0,0
 84-94,0,11.1,3.24,3.56,0,0,0,0,0.64,0
 96-106,0.83,5.98,1.67,0,0,0,1.74,0,0.9,0
108-118,2.61,7.6,2.14,0,0.86,7.14,0,0,3.29,0
120,0,16.98,1.66,0,4.81,5.53,0,0,0,0
