stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.81,160.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.09,162.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0
  7-9,0,33.68,23.28,0,0,214.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.16,23.7,0,0,158.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.3,86.72,0,0,143.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754.38,0,0,0,265.13,0,0,22.27,0,0,0,0,0,0,0
 14-21,0,0,0.93,28.06,6.33,3.74,0,0,0,0,3.48,0,0,0,0,0,0,2.63,0,0,10.81,167.28,0,0.87,4.79,21.79,2.93,59.88,1.01,1.07,24.83,35.77,0,0,0,0
 24-34,0,0,0.64,17.33,0,4.9,0,9.15,0,0,0,0,0,0,0,0,0,33.9,0,0,7.55,197.57,0,0,6.32,0,0,0,0,0,7.28,32.04,0,1.09,0,0
 36-46,0,0,0,1.75,0,21.2,0,16.88,11.06,0,0,0,0,0,0,0,0,54.41,0,0,8.18,194.19,0,0.81,0,0,0,0,0,0,0,35.91,0,0,0,0
 48-58,0,0,0,2.37,0,217.14,0,11.25,61.35,0,0,0,0,0,0,0,0,55.63,0,0,0.83,136.74,0,0,16.66,0,1.27,0,0,0,0,22.3,0,0,0,2.35
 60-70,0,0,0,0,0,660.7,0,11.35,71.89,0,0,0,0,0,0,0,0,66.5,0,0,2.99,43.41,0,0,0,0,6.71,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.51,0,0,742.58,0,14.91,105.43,0,0.59,0,0,0,0,0,0,73.77,0,0,1.43,30.37,0.72,0,0,0,0,0,0,0,0,4.22,1.33,0,0,1.16
 84-94,0,0,0,2,4.74,2501.24,0,13.34,92.44,0,0,0,0,0,0,0,0,89.29,0,1.7,0.76,39.82,0,0,5.87,0,9.89,0,0,3.93,0,1.95,0,0,0,1.21
 96-106,0,0,0,1.46,17.32,2881.09,0.98,5.25,45.56,0.62,0,1.33,0.8,0.92,0,0,3.42,73.11,0,0.85,1.63,90.04,1.63,0,0,0,16.97,0,0,0,0,2.23,0,2.92,0,0
108-118,0,0,4.21,4.15,0.83,4181.81,2.06,14.95,86.95,1.06,0,1.18,2.24,11.19,1.29,6.91,0.44,97.12,0.53,0,3.48,69.49,4.96,0.53,0,0,10.99,0,0,0,0,6.59,0,2.44,0.99,14
120,0,0,0,1.16,0,1579.5,0,7.27,63.52,1.55,0,0,0,0,0,0,0,74.25,0,0,0,109.87,0,0,22.28,0,1.25,0,0,0,0,0,10.18,6.32,0,0
