stage,epidermis,eye,glial,ionocyte,liver,mesenchyme,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,8.3,0,0,0,2.77,1.04,13.2,0.92,6.04,0.81,0,0.89,3.77
 24-34,0,0,1.83,0.68,0,0,5.7,0,0,0,1.35,0,11.77
 36-46,0,0,0.77,0,0,0,5.94,0,8.11,0,0,0,4.69
 48-58,0,6.23,14.78,0,0,0,17.33,0,0,0,0,0,1.27
 60-70,0,0,10.6,0,0,0,14.46,0,0,0,0,0,0.74
 72-82,0,0,27.48,0,0,0.79,2.1,0,0,0,0,0,0
 84-94,0,1.28,19.71,0,0,0,15.19,0,0,0,0,0,0
 96-106,0,10.19,7.69,0,0,0,5.7,0,0,0,0,0,0.84
108-118,0,0.51,15.96,0,0.45,0.85,6.23,0,0,0,0,0,1.12
120,0,0,38.07,0,0,0,3.7,0,0,0,0,0,0
