stage,eye,hatching.gland,iridophores,mesenchyme,neural,olfactory,otic,periderm,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,3.83,0,0,3.9,0,0,0,0,0,0
 10-12,0,0,0,0,15.49,0,0,0,0,0,0
 24-34,0.98,0,0,0,0,0,0,0,0,0,0
 36-46,0.7,0,0,0,0,0,0,1.87,0,0,0
 48-58,0,0,0,0.52,0,0,0,0,0,0,0
 60-70,0,0,0,2.24,0,0,0,0,0,0,0
 72-82,0.91,0,0,0,0.77,0,0,0,1.32,0,1.26
 84-94,0,0,0,0,0,0,0,1.27,0,0,0
 96-106,0,0,0,0,0,0,4.63,0,0,0,0
108-118,0,0,0.88,2.75,0,0.42,0,0,0,0.43,0
120,0,0,0,6.81,0,0,0,0,0,0,0
