stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,122.53,3261.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.28,0,0,0,0,0,0,0,0,0
  5-6,70.1,1284.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,0,0,0,40.92,0,17.83,0,0,0,0,0,0,0,0,0
  7-9,32.13,42.54,0,19.88,0,5.95,68.48,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,642.59,58.86,0,0,278.37,0,3.31,17.75,0,0,0,0,0,0,0,0
 10-12,0,64.34,0,84.79,0,5.34,89.87,0,0,0,0,8.26,0,0,0,0,0,0,0,0,0,0,1644.81,78.05,0,0,449.3,0,0,0,0,58.78,0,12.23,0,0,0,0
 14-21,0,0,0.8,1.75,36.18,8.86,48.67,0,0,34.17,0,0,2.46,0,0,0.96,0,0,0.86,23.83,0,13.8,355.23,1.78,4.36,23.95,5.76,0,11.78,0,10.93,48.16,17.44,246.81,0,0,0,0
 24-34,0,0,1.61,1.23,14,3.35,77.43,0,0,32.72,0,0,0,0,1.34,1.45,1.09,0,1.22,68.15,0,10.86,684.87,1.46,49.8,14.08,0,0,5.58,0,0,36.58,2.95,288.62,0,0,7,0
 36-46,0,0,0,0,11.84,2.17,116.63,0,2.07,20.08,0,0,0,0,0,0,6.69,0,0,52.74,0.98,15.17,419.46,0,76.07,9.75,0,2.85,15.21,0,0,7.71,0,184.36,0,0,9.66,0
 48-58,0,0,0,0,0.79,4.93,128.11,0,0,41.23,1.77,0,0,0,8.11,0,2.4,0,0,37.83,1.94,6.38,145.42,0.56,66.02,6.74,0,0,3.36,0,0,3.39,0,126.52,0,0,0,0
 60-70,0,0,0,0,6.39,0.6,87.66,0,1.28,47.02,0,0,0,0,0,0,2.64,1.32,0,51.25,0.78,3.37,114.81,0,43.75,13.58,0,0,0,0,0,7.83,0,75.68,0,1.84,0,0
 72-82,0,0,1.32,0,4.51,0,39.86,0.49,0.94,49.42,0,0,0,0,0,0,2.49,0,0,50.65,1.07,6.48,103.64,0.52,137.8,15.56,0,0,0.72,0,0,2.19,0,40.64,4.02,0.5,2.75,2.14
 84-94,0,0,1.42,2.04,6.27,0,45.58,0,2.22,32.23,0,0,0,1.22,0,0,11.2,0.96,0,52.14,0,3.53,80.87,0,143.66,36.45,0,0,0,0,0,3.43,0,36.7,6.28,1.03,0.62,3.21
 96-106,0,0,0,0,1.04,1.49,27.7,0,0,60.64,0.69,0,0,0.96,0.75,0,16.9,0,0,29.72,1.83,2.46,87.72,0,210.48,21.62,0,0,0,0,0,0.58,0,22.21,1.97,0,5.65,1.1
108-118,0,0,3.86,0,2.72,0.52,16.34,0.7,0.8,40.51,0.73,0,0,2.36,0,2.36,6.73,2.87,0,48.05,4.74,4.09,95.35,0,125.77,19.9,0,2.52,0,0,0,2.13,0,49.15,1.88,2.33,0.59,2.27
120,0,0,0,0,2.92,2.93,18.9,0,0,27.61,0,0,0,8.58,0,12.97,6.86,0,0,39.24,6.16,1.81,83.89,0,147.51,31.11,0,0,0,0,0,14.91,0,20.46,1.39,0,0,0
