stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.12,15.66,0.94,19.88,0,15.04,0,0,0.86,0,4.17,0,0,9.05,225.3,3.86,1.95,8.22,7.38,0,2.29,6.02,1.08,12.4,92.63,0,0,1.77,0,0
 24-34,0,0.64,1.3,0.78,6.45,0,5,0,0,0,0,8,0,0,2.17,91.17,0,4.29,1.35,0,0,0.82,0,0.64,0,28.57,0,0,0.66,0,0
 36-46,0,0,0.84,0,40.11,0,5.01,0,0,0,0,9,0,0,1.55,84.08,0.55,15.86,0,0,0,9.22,0,0.6,0,20.07,0,0,0,0,0
 48-58,0,0,6.3,0,19.27,0,2.71,0,0,0,2.3,2.91,0.59,0,1.75,30.9,0,2.86,0.42,0,0,0,0,0,0,4.78,0,0,0,0,0
 60-70,0,0,0,0,7.18,0,0.78,0.78,0,0,0,1.54,0,0,0,54.49,0,0,0,0,0,0,0,0,0,6.55,0,0,1.57,0,0
 72-82,0.53,0,0,0.58,1.78,0,1.1,0,0,0,0.57,3.06,0,0,0.56,16.73,0,28.37,0.54,0,0,0,0,0,0,4.22,0,0,1.82,0,2.01
 84-94,0,0,0,0,13.22,0,0,0,0,0,0,5.68,0,2.92,0.98,30.64,0,7.38,0,0,0,0.71,0,0,0,7.07,0,0,0,0,0
 96-106,0,0,0,4.52,1.54,0,2.2,0,0,0,0,3.48,0,0,0,19.61,0,23.16,0,0,2.4,0,0,0,0,0,0,1.27,0,0,0
108-118,0,0,2.81,0,3.74,0.43,5.14,0,0.74,1.43,0,7.31,0,0,0,21.97,0,8.35,0,0,0,0,0,0,0,0,0.6,0,0,0.49,0
120,0,0,0,0,9.97,0,19.74,0,0,0,0,5.41,0,0,0,38.23,0,6.18,0,0,19.8,0,0,4.05,0,0,0,0,0,0,0
