stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,11.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.31,0,0,3.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,1.84,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,25.35,0,0,0,0,0,0,0,18.07,0,0,0,0,0
 24-34,0,1.72,0,1.38,0.66,5.59,0,0,0,0,0,0,0,7.29,0,0,3.59,0,0,0,286.04,4.53,0.78,0,0,0,0,0,32.31,0,0,7.67,0,0
 36-46,0,0,0,10.52,0,16.76,0,0,0,4.75,0.56,0,0,5.42,0,0,5.51,0,0,1.36,866.69,1.75,0,0,0,2.73,0,0,76.6,0,0,9.91,0,0
 48-58,0,0,0,6.8,0,116.63,2.29,6.07,0.66,38.17,0,0,0,6.85,0,0,12.47,0,4.89,1.82,1374.56,0,0.37,0,0,3.31,0.54,0,136.69,0,0,2.09,0,9.07
 60-70,0,0,0,6.98,0,267.04,0.58,0,0,16.41,3.71,1.47,0,23.64,0,8.03,40.67,0,0,1.12,1661.73,9.11,1.12,0,0,3.55,0,0,164.15,0.81,0,11.63,0,0
 72-82,0,0,0,13.28,5.75,290.7,0,0,4.75,13.86,2.39,0.66,0,27.11,0,3.31,44.96,0.74,0,0,1348.89,7.57,0,0,0,2.64,1.02,3.45,139.87,0,3.44,20.4,1.51,0
 84-94,0,0,0,13.93,5.27,244.73,0,0.62,0,10.96,0.56,1.92,2.07,21.32,2.64,0,44.4,0,4.09,6.81,713.67,0,0,0,0.57,0,0,0.68,105.84,1.04,2.16,3.55,1.89,0
 96-106,0,1.17,1.77,13.62,4.88,205.52,0.86,5.93,2.91,23.54,5.88,0.73,0,29.41,1.45,2.33,58.04,0,2.81,7.21,719.37,0,0,0,0,0,0,0,31.24,0,4.47,13.38,1.16,0
108-118,0,0,0,13.28,4.26,245.72,0,2.08,0.43,28.77,4.76,0.56,1.77,20.2,0,0.53,42.27,0,1.44,3.8,801.23,1.05,5.34,0,0,0,0,0,31.23,2.98,8.87,3.07,2.94,0
120,0,3.99,0,21.54,1.21,251.45,0,0,0,17.69,7.66,0,0,4.67,17.89,0,51.7,0,0,2.81,1052.89,1.45,0,0,0,0,0,0,14.24,0,5.64,22.22,0,0
