stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0.81,0,0,1.19,0,0,0,0,1.28,2.25,0,0,0,0,0.98,3.32,0,0,0
 24-34,0,0,4.5,0.61,0,0,0.67,0,0,0,1.4,10.77,0,0,0,0,0.68,2.83,0,0,0
 36-46,0,0,1.68,0.65,0,0,0,0,2.16,1,2,35.59,0,1.26,0,0,0,2.77,0,0,0
 48-58,0,0,0,8.28,0.51,1.89,0,0.39,0,0.47,0,33.44,0,0,0,0,0,1.59,0,0,0
 60-70,0,0,5.01,0.78,0,4.52,0,0,0,9.48,0,58.82,0,0,5.64,0,0,4.29,0,0,0
 72-82,0,0,0,0.54,0,2.01,0,0,0,1.55,0.56,65.28,0,0,0.79,0.81,0,2.25,0,0,0
 84-94,0,0,0.74,5.85,0.57,1.62,0,0,0,2.46,0,35.65,0.67,0,0,0,0,0,0,3.29,0
 96-106,0,0,1.22,1.69,0,4.09,0,0,0,0,0,51.76,0,2.05,0,3.68,0,0,0,0,0
108-118,0,0,12.65,1.63,0,1.52,0,0,0,0,0.48,96,0,0,2.9,0,0,0,1.26,0,0
120,0,0,0,0,0,0,0,0,0,0,0,99.1,0,0,0,0,0,0,0,0,2.01
