stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,8.62,0,0,0,0,0,0,0,0
 10-12,0,7.84,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,4.94,0,0,0,0,0,0
 14-21,0,2.68,0.8,0,0.81,0,0,0.95,0,0,0,0,0,0,0,0,4.83,0,0,1.62,0,0.85,1.32,0,1.14,0,0
 24-34,0,0,0.62,0,2.76,0,0,0,0,0,0,1.03,0,0,0.86,0,24.37,0,0,1.52,0,0,0,2.16,8.13,0,0
 36-46,0,0,0.57,0,1.53,3.87,0,2.73,0,0,0,0,0,0,0,0,20.21,0,0,0,0,0,0,0,3.72,0,0
 48-58,0,0,0,0,4.09,0,0,0,0,0,0.57,0,3.18,0,1.04,0,27.43,0,0,0,0,0,1.43,0,1.59,0,0
 60-70,0,0,0.67,0,21.06,0,2.09,15.97,0,0,0,0,0,0,2.2,0,9.05,1.79,0,0,0,0,0,0,3.01,0,0
 72-82,0,0,2.18,1.04,13.08,0,0,3.15,0,0.51,0.94,0,0,2.78,10.74,0,12.06,0,0,0.84,0,0,0,0,1.16,0.87,2.9
 84-94,0,0,0,0,17.95,0,0,1.13,0.98,0,1.7,0,0,1.03,3.44,0,13.17,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.81,0,0,1.33,0.79,0.8,0,0,0,0,1.28,2.63,3.18,0,0,0.65,0,0,0,0,0,0,1.37
108-118,0,0,0.79,0.45,10.83,0,0,0.83,0,0,0,0.43,0,0,1.49,0,6,0.52,0,1.59,0,0,0,0,0,0,0
120,0,0,0,0,9.46,0,0,0,7.45,0,2.12,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0
