stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.66,140.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0
  5-6,100.97,437.59,0,0,0,0,0,0,0,8.74,0,0,85.59,0,0,0,55.46,19.75,0,0,0,0,0,0,0
  7-9,92.19,0,46.24,0,0,8.46,0,0,0,34.82,0,0,124,54.21,0,0,407.1,6.08,0,0,0,0,0,0,0
 10-12,0,8.35,25.12,0,0,7.27,0,0,0,4.67,0,0,3.01,11.31,0,0,236.72,0,0,29.48,0,8.52,0,0,0
 14-21,0,0,0,6.11,8.29,0,0,0,2.1,0.99,3.58,13.48,7.53,13.59,0,1.02,6.11,0.91,107.71,0.88,4.71,35.82,0.85,0,1.5
 24-34,0,0,0,0,0.79,0,0,0,0,0,0,0,3.31,0,1.22,0,0,0,0,0,0,0,4.15,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.78,0,11.03,0,1.35,0,0,5.76,0,0,0,0,0.64,0,0
 48-58,0,0,0,0,0,0.52,0,1.28,0,0,0.53,0,0.52,0,0,0,0,0,0,0,0,0,2.21,0,0
 60-70,0,0,0,5.02,0,14.38,0,0,0,0,1.48,0,1.55,0,0,0,0,3.19,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.89,0,0,1.16,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.78,1.65,0,0,0,0,0.83,0.56,0,0,0,0,0,0.7,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.99,0.86,0,0,1.59,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.45,0,0.89,0.42,0,0,0,1.8,0.97,0,0,0,0,0,0.63,0,0,0,0,0,0,0
120,0,0,0,1.16,0,0,1.04,0,0,0,21.13,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0
