stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,8.54,0,0,12.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.97,0,0,23.94,11.97,0.87,0,0,0,0,0,1.23,1.76,3.86,9.86,0,0,0,0,0
 24-34,1.4,2.39,1.02,0,2.27,0,0,5.36,0,0,2.89,0,0,0.7,0,418.36,0,0.81,182.1,69.12,1.56,0,0,0,2.28,0,0.76,0.93,0,21.28,0,0,6.4,0,0
 36-46,0,0.6,0.76,0,2.31,0,5.32,13.08,0,0,1.84,0,0,0,0,478.71,0,2.3,122.15,84.15,0.56,1.19,0,0,0,2.24,0,0,0,23.6,0,0.62,2.87,0,0
 48-58,0,0,3.27,0,26.86,0,4.29,38.14,2.31,0,2.2,0,0,5.36,3.6,503.83,0,11.14,87.47,213.78,1.36,0,6.46,0,0,0.4,0,0,0,3.08,0,0.84,6.84,0,2.61
 60-70,0,9.24,0.72,0,44.11,0,5.31,24.1,0.8,0,4.57,4.9,3.07,0,1.32,738.21,0,20.38,38.7,138.17,7.34,0,0,0,0.84,0,0,0,0,1.74,0,3.59,4.32,0,0
 72-82,0,2.77,0.59,0,53.21,1.33,0.68,30.74,3.78,0,2.21,0.5,0,0,2.47,936.64,0,19.74,51.43,80.49,0,0,0,0,5.5,4.59,0,0,0,2.07,0,16.55,2.47,17.51,0
 84-94,0,4.22,0.55,0,65.34,1.91,0,35.07,5.86,0.78,7.07,0,0,0,9.88,836.29,0,23.27,32.39,19,0,0,0,0,0,1.32,0,0,0,1.73,0,26.88,10.74,17.1,0
 96-106,0,3.46,5.55,0,41.33,4.45,3.34,18.68,0.59,0,0,2.57,0.85,0,21.13,569.09,1.42,11.96,55.72,64.2,0.64,0,0,0,10.93,2.21,0,0,0,0.67,2.19,12.24,11.65,14.83,0
108-118,0,4.69,0,0.95,26.14,0.86,0,41.71,4.29,0,1.42,0.87,0,0,23.69,982.64,0,25.3,44.36,65.89,0,0,0,0,30.8,0,0,0,0,2.41,0,7.68,0.47,31.23,0
120,0,3.11,1.9,1.23,13.52,0,0,101.97,27.6,0,12.8,8.26,1.45,0,56.84,2118.62,0,55.2,158.84,133.08,5.18,0,0,0,17.57,3.41,0,0,0,0,0,25.55,2.51,40.03,0
