stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,38.66,0,0,0,25.09,0,0,0,0,0
 10-12,0,0,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.93,0,0,0,5.24,0,0,0,0,0
 14-21,0,0,0.82,6.43,28.97,2.39,0,0,0,0,2.06,0,0,0,0,6.78,0,0,0.9,0,0,0,0,0,1.22,0,0.85,0
 24-34,0,0,0,13.17,17.08,0,0,0,0,0,5.7,0,0,4.71,0,7.18,0,2.5,11.84,0,0,0,0,0,0,0,1.66,2.85
 36-46,0,0,0,3.09,18.08,0,0,0,0,0,3.85,0,0,1.89,0.62,3.53,0,0,13.81,0,0,0,0,0.95,0,0,0,0
 48-58,0,0,0,0,12.39,0,0,2.55,0,0,0,0,0,0.44,0,4.58,0,0,2,0,0,0.64,0,2.81,0,0,0,0
 60-70,0,0,0,0,19.35,0,0,10.63,2.72,0,0,0,0.56,7.6,0,33.42,0,0,10.17,0,0,0,0,2.47,0,0,0,0
 72-82,0,0,0,0,7.67,0,0,4.36,1.24,0,0,0,0,6.08,0,11.86,0,0,7.7,0,1.46,0,0,3.03,0,0,1.21,0
 84-94,0,0,0,0,15,0,2.55,3.32,0,0.73,0,0,1.18,2.83,0,11.37,0,0,2.29,0,1.55,0,0,5.34,0,0,0,0
 96-106,0,0,0,0,48.38,1.47,0.82,5.72,1.85,0,1.86,0,3.19,5.3,0,13.2,1.09,0,10.06,0.86,8.76,9.6,0,9.92,0,0,0,1.88
108-118,0,0,0,0,52.42,0,2.31,20.32,0.96,0,0,2.04,1.24,3.82,0,21.76,0.43,0,14.17,0,0.81,14.37,0,15.33,0,0.62,0,0
120,0,0,0,0,43.75,0,1.31,6.57,0,0,0,7.62,0,0,0,27.27,0,0,3.83,0,1.46,4.43,0,10.3,0,0,0,0
