stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,12.66,0,0,0,0,0,0,0,4.55,5.96,9.78,0,0,0,0,0
 24-34,0,0,0,0,0,4.66,0.72,0,0,1.42,0,0.82,0,0,0,0,0,0,0,0,0,1.75,178.67,0,2.09,0,0,2.73,0,0,2.59,18.59,42.37,0,0,0,0,0
 36-46,0,0,0,0.62,0,11.85,5.41,0,0,1.98,0,0,0,0,0,0,0,6.49,0.64,0,0,3.04,425.46,0,6.3,0,0,0,0.78,1.06,0.67,1.65,89.21,0,0,0,0,0
 48-58,0,0,0,5.23,0.44,67.73,10.24,0,0.72,5.9,0,0,0,0,0,0,0,0,6.68,0,0,9.66,605.72,2.32,5.52,0,5.19,2.78,0,0,5.35,0,101.25,0,0,0.43,0,0
 60-70,0,0.89,0,3.94,0,408.84,6.08,0,0,11.26,0,0,0,0,1.1,0,0,0,4.77,2.63,0,0.57,887.61,0,0.9,0,0,0,0,0,7.71,0,118.31,0.81,0,0,0,0
 72-82,0,2.79,0,0,6.17,577.72,8.74,5.41,1.91,27.59,0.65,0,1.1,0,0,0,0.88,6.69,9.87,0,0,4.81,700.63,0,4.77,0.75,0,1.66,0,0,2.17,0,83.2,0,0,3.06,0,0
 84-94,0,3.36,0,3.08,1.49,337.48,5.19,0,0,31.21,1.94,0,0,0.61,0,0.69,0,0,3.75,0,0.63,5.32,434.69,0,0,0,0,4.33,0,0,2.56,0,51,1.67,0,3.63,0,9.33
 96-106,0,1.37,0,20,0,345.62,4.8,0,1.34,23.03,2.02,0,0,0,0,0,0.72,0,12.62,0,6.67,0,372.26,0,10.5,1.18,0,2.87,0,0,1.87,0,16.18,2.03,0,1.47,0,0
108-118,0,1.21,0,5.94,0.87,343.1,4.26,0,1.04,28.03,0,0,0,0,0,0,0,0,7.62,0,0,7.46,546.02,0,2.8,0,2.11,2.88,0,1.48,5.41,0,31.5,0,1.46,0,1.65,0
120,0,3.64,0,28.77,18.72,322.19,9.03,0,8.22,46.98,2.42,0,0,0,0,0,0,0,13.71,0,0,10.86,1084.29,0,24.91,0,0,4.53,0,0,3.54,0,27.71,5.08,1.32,6.45,0,0
