stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,22.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.27,106.23,0,0,0,0,0,0,0,6.08,0,0,0
  7-9,0,6.22,0,5.73,0,0,0,0,0,25.95,10.59,0,0
 10-12,0,0,0,0,0,0,4.92,0,0,3.14,10.07,0,0
 14-21,0,0,1.41,0,1.1,1.09,0,1.08,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.63,0,0,0,0.77
 48-58,0,0,0,0,0,0,0,0,0,0.5,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.68,0
120,0,0,0,0,1.41,0,0,0,0,0,0,0,0
