stage,eye,mesenchyme,muscle,neural,periderm,presomitic.mesoderm
 14-21,0,0,0,1.18,1.51,2.08
 60-70,1.64,0,0,0,0,0
 72-82,0,0,0.49,0,0,0
108-118,0,4.51,0,0.66,0,0
120,0,0,0,0,2.69,0
