stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.2,58.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,0,0,0,14.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0,161.71,0,0,0,11.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.61,0,0,33.56,0,0,114.48,0,0,0,0,0,0,1.03,0,0,942.17,0,0,0,0,0,3.41,0.91,0,1.83,0.92,215.26,0,0,0,0
 24-34,0,0,0.61,2.98,1.03,0,205.5,0.8,0,228.3,0,0,0,0,0,8.54,4.55,0,2.86,1873.76,0,1.59,4.03,0,0,0,0,0,0,0.72,432.19,0,3.21,0,2.7
 36-46,0,0,0,8.83,0,0,239.87,0.8,0.82,327.51,0.58,0,0,0,0,0,3.8,0,1.74,984.53,3.82,0,2.74,0,0,7.28,0,0,0,0,356.65,0,1.33,0,0
 48-58,0,0,0,12.83,0,0,272.82,0,0,462.7,0,0,0,0,0,0,6.18,0,1.13,454.58,0,0.6,1.1,0,0.47,1.52,0,0,0,0,392.34,0,3.98,0,0
 60-70,0,0,0,0.95,0,0,261.28,0,0,649.69,0.85,0,10.55,2.01,0,0,5.04,0,1.56,259.79,0,0,0,0,0,0,0,0,0,0,336.85,0,0,0,0
 72-82,0,0,0,0.88,0,0,216.97,1.31,0,959.51,1.92,0,0,1.23,0,0,7.24,0,1.22,154.97,0,0,2.94,0,0,0,0,0,0,0,159.35,0.87,3.2,0,0
 84-94,0,0,0,0.89,0,0,136.27,0,0,649.98,13.69,0,0,0,0,0,10.44,0.92,0,100.51,2.32,0,5.23,0,0,1.25,0,1.44,0,0,117.05,0,0.61,1,0
 96-106,0,0,0,4.62,13.06,0,122.09,0.9,0,659.33,1.56,4.29,0.59,1.84,0.75,1.06,11.09,1.42,1.79,100.63,0,0,7.71,0,0,1.27,0,1.05,0,0,90.58,1.22,0,0,5.48
108-118,0,0,0.74,2.86,0,3.2,75.58,0,0,645.76,0.67,9.57,0,0,0,0,5.9,0.69,1.91,162.17,2.86,0,1.87,0,0,0.79,0,0,0,0,46.81,0,0,0,0
120,1.19,0,0,1.6,0,0,107.44,1.44,0,528.79,1.26,31.28,0,0,0,0,4.28,0,1.93,162.01,0,11.79,1.66,0,11.54,0,0,0,0,0,41.42,0,1.72,0,0
