stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.37,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,11.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.39,0,0,0,22.73,0,3.78,0,0,0,0,0,0,0
 14-21,0,2.25,0.99,1.21,0,0,4.17,1.21,0,0,0,4.32,0,1.95,30.18,0.99,0,0,1.41,0,0.9,1.41,0,1.01,9.19,0,0,0
 24-34,0,0,0,0.68,0,0,0,0,0,0,0,6.54,0,2.1,26.58,0,0,0,0,1.64,0,0,0,0,10.1,0,0,0
 36-46,0,0.96,0,3.24,0,0,1.91,0,0,0,0,11.59,0,0,47.84,0,0,0,0,10.36,0,0,0,0,8.68,0,0,0
 48-58,0,0,0,6.93,0,1.63,1.46,0,1.62,0,0,3.25,0.39,0.56,12.59,0,0,0,0,0.39,0,0,5.13,0,21.62,0,0.43,0
 60-70,0,0,0,59.26,3.17,0,0.6,0,0,0,0,0.89,0,0.87,40.23,0,1.4,0,0,0,0,0,0.59,0,21.08,0,0,0
 72-82,0,0.87,0,118.84,0,0,0,0,0,0,0,9.49,0,1.18,53.48,0,0,0,0,0.6,0,0,0,0,22.28,3.98,0,0
 84-94,0,0,4.99,83.26,0,0,0.97,0,0,0,0.9,5.16,0,1.29,67.52,0,0,2.77,0,3.86,0,0,0,0,1.8,0,0,0
 96-106,0,2.25,10.91,136.48,0,0,3.44,1.05,0,2,0,4.15,1.82,0,55.47,0,0,0,0,0,0,0,0,0,2.27,0,3.66,0
108-118,0,2.52,0,96.28,0,0,3.86,2.18,0,0.68,0,3.13,0,2.45,37.38,0,0,0,0,0.76,0,0,0.75,0,0,0,0,3.5
120,0,2.22,0,192.68,0,5.02,3.67,0,0,0,0,0,0,0,60.32,8.67,0,0,0,0,0,0,0,0,0,6,0,0
