stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.1,253.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,0,0,7.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.98,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,2.53,60.13,0,0,0,0,0,2.83,0.81,1.66,0,1.69,0,0
 24-34,0,0,0,0.69,0,0,6.92,0,0.64,0,8.58,1.39,0,0,0,0,1.03,0,0,1.81,281.68,3.34,0,0,0,0,0,0,54.21,0,0,0,0
 36-46,0,0,0,1.35,0,0,16.73,0,0.58,0,65.77,0,0,0,0,5.79,1.9,0,0,0.56,662.65,0,0,0,0,0,0,0,125.66,0,0,0,0
 48-58,0,0,0,7.08,0.41,0,40.22,0,0.44,0,178.05,0.89,0,0,0,0,4.4,0,0,2.08,1062.91,1.56,0,0,0,0,0,0,166.07,0,0,0,0
 60-70,0,0,0,1.16,3.33,0,175.24,0,2.01,0.75,164.62,4.09,0,0,0,0,12.92,0.62,0,0.6,1691.56,0,0.63,0,0,5.86,0,0,179.14,0,0,0,4.73
 72-82,0,0,0,4.73,2.4,0,178.68,0,0,0,131.66,0,0,0,0,0,42.86,0,0,0.71,1558.41,0,2.11,0,0.71,0,0,0,111.99,0,0,0,0
 84-94,0,0,0,3.88,0,0,146.8,0,0,0,100.02,0,0.65,0,0,5.31,22.26,1.82,4.1,0,1034.65,0.71,9.72,0,0,0,0,0,79.6,3.6,1.18,2.45,0
 96-106,0,0,0,4.34,0,0,165.85,0,0.9,0,107.68,0,0.77,0,5,0.69,16.88,0,1.34,0.72,861.04,0,7.46,0,0,2.36,0,0,48.27,2.88,0,4.25,0
108-118,0,0,3.44,5.47,0,6.86,163.86,0.67,0.51,0,118.42,0.63,0,0.63,2.82,0.46,18.69,0,0,1.21,861.04,0,4.24,0,0,0,0,0,61.98,3.58,3.16,2.18,6.14
120,0,0,0,7.1,0,0,195.25,0,1.55,0,203.17,0,1.32,0,0,1.79,8.13,0,0,0,1715.14,0,0,0,0,0,0,0,86.21,0,0,0,0
