stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,169.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0
  5-6,0,29.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.93,0,0,0,0,0,7.6,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,0.83,0,0,0,0,1.81,0,0.95,1.9,0,0,0,0,1.66,1.22,6.77,0,0,0
 24-34,0,0,0,0,0,0,0.65,0,0,0,0,1.04,6.49,0,1.36,0,0,0,0,2.02,0,2.48,0
 36-46,0,0,0,0,0.88,0,0,0,0,0,0,0,9.97,0.59,7.78,1.15,0,0,0,6.06,0,0,0
 48-58,0,0,0,0.96,5.24,0,4.43,1.15,0,0.56,0,0,7.45,0,1.71,0.42,0,0,0,0.39,0,2.81,1.89
 60-70,0,0,0,0,5.82,0,3.77,0,0,0.72,0,0,9.86,0,0.64,0,0,0,0,0.82,0,4.19,0
 72-82,0,0,0,1.45,2.88,0.62,9.06,0,0,3.22,0,1.57,0,0,1.04,1.13,0,0,0,1,0,0,0
 84-94,0.62,0,0,0.9,1.97,0,7.11,0,0.63,0,0,0,0.63,0,0,2.63,0,0,0,0.82,0,8.13,0
 96-106,0,0,0,2.26,0.93,0,6.69,0,1.39,4.25,0,1.39,5.53,0,7.58,1.44,0,0,0.62,6.73,0,1.07,0
108-118,0,0,0,0,1.29,0,10.11,0,1.93,0,4.21,0,0.66,0,10.64,0.74,0,0,0,4.29,0,0,0
120,0,0,0,5.14,0,0,4.13,0,2.11,0,0,0,11.25,0,10.16,0,0,0,0,0,1.19,0,0
